cpu_clk_unhalted.c01,cpu_clk_unhalted.c02,cpu_clk_unhalted.c0_wait,cpu_clk_unhalted.distributed,cpu_clk_unhalted.one_thread_active,cpu_clk_unhalted.pause,cpu_clk_unhalted.pause_inst,cpu_clk_unhalted.ref_distributed,cpu_clk_unhalted.ref_tsc,cpu_clk_unhalted.thread,cpu_clk_unhalted.thread_p,cycle_activity.cycles_l1d_miss,cycle_activity.cycles_l2_miss,cycle_activity.cycles_mem_any,cycle_activity.stalls_l1d_miss,cycle_activity.stalls_l2_miss,cycle_activity.stalls_total,exe_activity.1_ports_util,exe_activity.2_ports_util,exe_activity.3_ports_util,exe_activity.4_ports_util,exe_activity.bound_on_loads,exe_activity.bound_on_stores,exe_activity.exe_bound_0_ports,inst_decoded.decoders,inst_retired.any,inst_retired.any_p,inst_retired.macro_fused,inst_retired.nop,inst_retired.prec_dist,inst_retired.rep_iteration,int_misc.clear_resteer_cycles,int_misc.mba_stalls,int_misc.recovery_cycles,int_misc.unknown_branch_cycles,int_misc.uop_dropping,int_vec_retired.128bit,int_vec_retired.256bit,int_vec_retired.add_128,int_vec_retired.add_256,int_vec_retired.mul_256,int_vec_retired.shuffles,int_vec_retired.vnni_128,int_vec_retired.vnni_256,ld_blocks.address_alias,ld_blocks.no_sr,ld_blocks.store_forward,load_hit_prefetch.swpf,lsd.cycles_active,lsd.cycles_ok,lsd.uops,machine_clears.count,machine_clears.smc,misc2_retired.lfence,misc_retired.lbr_inserts,resource_stalls.sb,resource_stalls.scoreboard,topdown.backend_bound_slots,topdown.bad_spec_slots,topdown.br_mispredict_slots,topdown.memory_bound_slots,topdown.slots,topdown.slots_p,uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
0,0,0,65975278,609597,0,0,685437,55702150,80566123,80636483,16741423,9965063,56495239,5751084,1712890,24116853,7024304,6715123,4391657,3449509,10462262,2811133,1016924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,20671,119061,20246,13130,61790,20496,19193,16005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,93185,1670563,92639,77173,1505934,239704,207121,193035,110883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,39935015,5810806,3965627,40476698,4118212,3741776,2844397,3784841,20823326,8732465,3261787,1605153,28765601,28791785,2676096,809417,0,853722,642210,0,888843,253278,289018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073792,783763,0,0,0,0,0,0,0,0,38940,6049,35749,0,0,0,0,990,0,224,0,1548244,11412297,84332989,4363068,4661489,27026477,141425946,141146963,1131202,2002502,4405601,2737057,2720190,4308464,4230638,2680298,21834049,8901609,5661228,3630682,2050022,8841062,5640803,3639529,2072087,14835685,14869238,21944127,0,23352524,6181584,14707567,14162788,22410317,17509592,17505803
0,0,0,54140344,426598,0,0,288024,22938942,33099515,33126780,2828678,1263617,18449354,563090,253430,21764889,3455944,3218675,2736772,2159779,8262939,1798422,1314669,6393325,36367923,30996995,2924624,1001549,0,199205,445646,0,208942,315665,34690,0,0,0,0,0,0,0,0,31503,0,42434,0,0,0,0,720,0,262,0,6505709,12408965,124629618,2603954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24185518,13322417,187286641,56930919,49685664
0,0,0,33206478,286566,0,0,285034,22721932,32860087,32923752,1844154,452571,17518384,511986,120538,21009524,3009075,2838319,2334712,1838633,8068396,2093321,1168177,5590298,28561387,28566531,2703641,846678,0,189706,370964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7298106,12019743,123514104,2558420,2139936,48493665,196447235,197271386,3960913,3418438,3404153,7773296,5057296,5811124,6670557,4872892,34128248,11738142,8760008,6047284,3846520,11706807,8721712,6034912,4182360,21602627,21631421,36742497,0,38129420,8636852,8415747,5852940,34114538,25033095,25056821
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5570643,28391777,28325432,2675066,844913,0,189141,338989,0,209329,302066,33847,0,0,0,0,0,0,0,0,30726,0,45190,0,0,0,0,743,0,240,0,6599088,12171944,121243685,2336597,2201676,49174796,199643396,198750665,3938580,3402237,3380706,7723511,5035351,5780894,6647913,5255661,37011574,12581868,9443987,6568643,4238614,12563021,9416207,6070601,3903718,21180459,21197739,34395540,0,35251237,7999234,7952818,5897727,34279008,24804510,24911129
0,0,0,32869254,283909,0,0,296612,23539037,33904652,33941153,1884592,473050,18543013,407205,84123,20723951,2891506,2713554,2189360,1753219,7687120,2057855,1166765,5596626,28917782,28942134,2744694,856192,0,191563,377876,0,227486,318757,34897,0,0,0,0,0,0,0,0,28548,0,43070,0,0,0,0,825,0,269,0,6453106,12123260,119706431,2586926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35532816,7978706,7921338,5870375,34411798,24975263,24943654
0,0,0,34018719,293398,0,0,282112,22564204,32680571,32677612,1666099,316121,17454317,425114,73689,20995873,2887926,2718690,2200748,1752431,7640032,2093630,1151675,5621612,28935495,28835613,2738233,860013,0,188598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,6779953,12556240,124318464,2527086,2128843,48506426,217113402,213217918,4006622,3787687,3654700,8720467,5513563,6212658,7226967,4976294,34780294,11819648,8906378,6194261,3998081,11892257,8938609,6193183,3987663,21394410,21334054,34614862,0,35314240,7976986,7987510,5924288,34986959,25129441,25147662
