uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
4714417,7483755,6453103,31619115,19662571,18886422,25385598,24089028,183123103,51701171,42545667,33372129,25186716,43966099,36290246,26089322,15564545,28520322,28182982,73915375,0,76763181,10917932,4806118,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35032,59552,59552,294187,0,310085,65501,51409,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365947,1585208,1585208,2977119,0,3011877,632373,803142,522405,0,0,0
1118682,3966475,4400266,13313165,11891129,10558836,12284846,11114673,78428271,27613669,24791948,14635801,10396098,0,0,11021541,5933068,42211157,42959928,50515216,0,51291885,11883619,12419632,11946428,41703656,49071391,49622025
1323433,2894154,6714890,9812608,6610485,9446102,13027879,11178343,94828788,34997291,26184613,18136288,12252639,31771688,22113992,13885240,7110058,19407163,17483198,25543539,0,27334741,7232604,17174821,16532717,26176439,20577484,20543477
4246839,3859679,3862668,8680571,5533309,6273627,7285651,5322283,37527159,12305500,8809988,6126908,3932243,11978193,8961900,6239311,3997351,21547598,21575721,35125990,0,36911764,8299989,8663129,6250296,38929961,26141853,26119322
3985548,3676297,3618888,8667765,5509365,6229689,7240387,5290975,35915591,11773162,8823098,6128807,3935727,11735742,8802104,6123225,3936598,21186000,21173221,34483101,0,35330977,7986582,7985455,5907879,34345173,25023243,25062594
3998773,3658005,3606831,8672843,5511580,6237926,7239929,5109360,34549503,11780860,8822688,6133178,3928122,11775207,8812353,6111393,3920349,21314633,21355383,34395670,0,35244338,7979543,7965135,5899196,34394613,25018030,25185451
3999911,3726892,3658804,8952543,5650176,6206926,6950459,4907862,34464492,11784792,8833700,6146634,3961531,11833455,8857469,6183085,3982648,21357183,21300614,34608739,0,35350004,8012143,7982559,5925853,35816304,25487144,25691681
4031905,3686422,3621682,8595191,5308522,5910839,6714786,4973888,34897685,11853400,8927304,6229676,4012666,11863860,8910021,6230625,4015151,21221549,21188229,34808230,0,35673179,8036498,8056547,6097903,37848789,25356949,25388102
4030839,3713519,3559950,7906559,5155820,5935332,6731569,4977991,34869806,11853200,8899738,6195925,3988194,11783656,8854454,6177430,3984651,21328189,21379601,34785122,0,35578909,8389618,8561220,6209779,37729089,25388774,25319542
4030283,3604163,3488048,7932492,5156764,5934169,6731228,4989082,34965268,11868793,8908105,6198047,3991328,11846831,8915536,6199835,3987953,21200798,21228893,34724374,0,37120500,8701782,8538389,6214430,37741842,25285749,25329325
4034182,3521850,3488411,7951490,5174294,5922481,6724708,4978227,34822956,11800288,8874250,6184765,3983523,11843436,8888618,6218451,4001814,21006324,20984021,34957192,0,38730915,8758568,8550670,6212517,37786680,25431085,25485507
4024634,3507048,3458002,7867590,5124805,5896615,6686583,4947900,34746905,11806655,8892948,6206947,3991073,11838363,8912944,6222102,4008864,21364235,21350467,36020317,0,38195438,8674374,8517765,6208388,37748589,25356605,25143480
4030218,3517180,3478822,7916032,5161903,5930749,6732691,4973498,34981084,11841168,8922911,6231192,4014557,11875604,8940288,6247285,4025785,21381527,21559906,38796197,0,39567308,8924121,8683788,6281193,37541728,24938734,24704728
4063906,3531499,3490024,7921997,5158607,5933223,6699056,4979248,34856589,11811630,8929203,6234665,4021369,11874071,8937557,6229186,4174526,21506139,21523550,37716129,0,38907665,8782470,8559767,6107210,35035243,24850904,24870866
4025990,3511385,3485347,7931823,5158852,5934814,6733798,5007270,35020447,11857497,8922363,6233135,4033511,11900092,8931943,6481249,4355209,21583808,21578305,37737925,0,39021938,8794949,8316907,5942927,34860082,24881003,24905300
