uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
3776276,9993718,8150440,33014059,19635689,19009208,26276545,24677993,187285245,51648978,39844484,30989978,24303444,45583967,33415053,24201340,14335675,26159692,25333336,66726481,0,41482432,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,67780,49387,33744,49973,49973,278516,0,289547,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,692460,522978,359871,1420702,1420702,3024034,0,3060812,644578,0,0,0,0,0
1486054,4802242,4916496,13040402,11060105,9892029,13083205,11836189,85018101,29657411,27213560,20049775,13910683,32354462,20056923,10845877,6295812,41099988,40649702,55821809,0,57806972,13488980,13563731,12847983,51031698,47087556,47098700
1325407,2317080,5116003,3165810,3115090,5236700,6011341,6313784,58318597,21754341,18703705,15761414,12229654,37508288,28209824,18142259,11886297,29730765,26322778,72042968,0,32921518,7384167,17161585,16529418,26163094,20744305,20703264
4289385,3855546,3728152,8777728,5587058,6390711,7285417,5351114,37713328,12826661,9659922,6723000,4331138,11875760,8949327,6344950,4054142,21152135,21179992,35600375,0,36624260,8490364,8296240,6120104,38465009,25797151,25809171
4093117,3506351,3468951,7963227,5617244,6276018,7260790,5368507,37697542,12688480,9568359,6673880,3968038,11801744,8932909,6233524,4009904,20660809,20710292,35264431,0,36091667,8423321,8151548,6038813,35326625,24496992,24496282
4104127,3516735,3483394,8767183,5609039,6243905,7284675,5375286,37660389,12675163,9561438,6166983,3944585,11733765,8863170,6192039,3996045,20673085,20650166,35113917,0,35873164,8377392,8118136,6041104,35459977,24536152,24554835
4094866,3594398,3682300,9006654,5713983,6338640,7433851,5557016,39099947,12749469,8944432,6237396,3987361,11866862,8942115,6223495,4001705,20826619,20834228,35173616,0,35935691,8378123,8123719,6013180,35252786,24314895,24288925
4023672,3663269,3589385,8664317,5518279,6151147,7156854,5342379,36384969,11993152,9056259,6305432,4051515,12051598,9074909,6326260,4055892,20940851,20973610,35308583,0,36171807,8444141,8122622,5980661,34817165,23934675,23921478
4025704,3659200,3587749,8722229,5569858,6221435,7237185,5046812,35359647,11978080,9032736,6284511,4033331,12007019,9076619,6324443,4047354,20786550,20776485,35372370,0,36250731,8449273,8148006,5990311,34921662,24039552,24312033
4026053,3654952,3595111,8690271,5550682,6202855,6688845,5055455,35341095,11962231,9024978,6274933,4014833,11987998,9062195,6301444,4043689,20790994,20748937,35369532,0,36279651,8436088,8158193,6010808,34946502,24357669,24354208
4040108,3688312,3616387,8766511,5574412,5854543,6717563,5074087,35249330,11965539,9026209,6299246,4036657,11980664,9059788,6322790,4055148,20790715,20779125,35438977,0,36344107,8440554,8183817,6050834,38168466,24558605,24548685
4035034,3663593,3600005,8723784,5125890,5792287,6661272,5017377,35195900,11954612,9030088,6287891,4006408,11947976,9021500,6303729,4043163,20920738,20813854,35388885,0,36152224,8438757,8173754,6266777,37719924,24711678,24553004
4056250,3727639,3580757,7908560,5135078,5805464,6649902,5018196,35238094,12001910,9036256,6277436,4008722,11984320,9030488,6300039,4037312,20817134,20856143,35402927,0,36318129,8844240,8934381,6415807,39272701,24741846,24635857
4044408,3538693,3425825,7888716,5111496,5789172,6634080,4988076,35086133,11949838,9013695,6267076,4007668,11982188,9031439,6273235,4021417,20822260,20803115,35469631,0,37883955,9164900,8694678,6317933,38388440,24668046,24551970
4069036,3487877,3440069,7935454,5160717,5855377,6702450,5026793,35198191,11994650,9035184,6263586,4018957,12027939,9029368,6274165,4016520,20845195,20869700,35659146,0,39409605,9147692,8698829,6320284,38295668,24851452,24832480
4086648,3490121,3429917,7878202,5114794,5790681,6638444,4987880,34885606,11907608,9016562,6276351,4018747,11997044,9029269,6268682,4018960,20771929,20815164,38135578,0,39322300,9156106,8708789,6321607,38460763,24793623,24377223
4112879,3513359,3452513,7926085,5122703,5794072,6628325,4985176,34939974,11865769,8995282,6265467,4009774,11979416,9040149,6288098,4018982,20798716,21018234,37618332,0,39222059,9168083,8713041,6332727,38513498,24450323,24475063
4107596,3515481,3463793,7914737,5111753,5966784,6904877,5173821,36188267,12249754,9296887,6492741,4169276,11967489,9037266,6275113,4170312,21145760,21058506,38684539,0,40137743,9314717,8824589,6276063,35356138,24392963,24372889
4095741,3517897,3465077,7937885,5140588,5826850,6685757,5050941,35275509,11956563,9042555,6290868,4032630,12046326,9050368,6788246,4524485,21169279,21013957,38915162,0,40057096,9263854,8310972,5979657,35160768,24359086,24443737
4072389,3496510,3461668,7974768,5176907,5861107,6711345,5048260,35330000,12007619,9051366,6283048,4024173,12029787,9410347,6809807,4365744,21087545,20983001,37789517,0,38791823,8643154,8021297,5936651,34758469,24095695,24217738
4093340,3506151,3466170,7970039,5162943,5831805,6628140,4984377,34838799,11803414,8907857,6194911,3977674,12403662,9651774,6736357,4321286,21149676,21182550,38000607,0,37433086,8472834,8195915,6061033,35422564,24440035,24383850
4094772,3528595,3486518,8033375,5205560,5867241,6653554,4978659,34823016,11796526,8890591,6180374,4234829,12582452,9605104,6744246,4339778,21132958,21151354,38033924,0,36123442,8441927,8183241,6055806,35467193,24512772,24502137
4099382,3527388,3482746,7998379,5176165,5874422,6684948,5003996,34867486,11841004,9236526,6837501,4403087,12909816,9802740,6872988,4462096,21176537,21041895,35237719,0,36206432,8412018,8179193,6060108,35427031,24456634,24437334
4075489,3509677,3470559,8030515,5182304,5882579,6720427,5051226,35300416,12428090,9734196,6792117,4361388,12809093,9635660,6689404,4292013,20907596,20779274,35348142,0,36108561,8399638,8112292,6003729,35259983,24216917,24182829
4022482,3469402,3447357,7965587,5162975,5892208,6727745,5048557,36715659,12841440,9713030,6797874,4378458,12907118,9759690,6815081,4187760,20945826,20942270,35420199,0,36101659,8373884,8073906,5961294,34758524,23937608,23939202
4017213,3440303,3419123,7923820,5155546,5869532,6708125,5220633,38034483,12834021,9706519,6816802,4386570,12891279,9760423,6573166,4032267,20932597,20889007,35336003,0,36171628,8369734,8051166,5928452,34664564,23801360,23772144
4026285,3455837,3424091,7901570,5149368,5862005,6962804,5401041,38114526,12855971,9736544,6802548,4366480,12934600,9449731,6330533,4046385,20923015,20847942,35259998,0,36150959,8410606,8114145,5960124,34647947,24022135,24029045
4030037,3461302,3426105,7918975,5157442,6166101,7171811,5356877,37600550,12758178,9657432,6758217,4357198,12044228,9105135,6328660,4081567,21068478,20996235,35506847,0,36199068,8443433,8176421,6010067,34916032,24033895,24029358
4062043,3470205,3429185,7859391,5102925,5770501,6886023,5515438,38788140,13036533,9814928,6855253,4406170,12972713,9545921,6279109,4025352,20769763,20806201,35553118,0,36311593,8438161,8173128,6046745,35409675,24434569,24437584
4086523,3473774,3429364,7871286,5098176,5972023,7161446,5332025,37589707,12734838,9680431,6754067,4321794,12308596,9027490,6277071,4008903,20666446,20690512,35408051,0,36289289,8435229,8165373,6040396,35247576,24355564,24336475
4089533,3508433,3449652,7870580,5313803,6168865,7204682,5347461,37643645,12728780,9687977,6780271,4174402,11958254,9024398,6273421,4025836,20789441,20828681,35225884,0,36249353,8450473,8193725,6049524,35256256,24340534,24366795
4085030,3508000,3464440,8305478,5524923,6166885,7204432,5373226,37765227,12702177,9650855,6538529,4028260,11989551,9035954,6284462,4026944,20771803,20748209,35382890,0,36342601,8484275,8202439,6068692,35386041,24435239,24285982
4076385,3505965,3539614,8622491,5482014,6125305,7143591,5339258,37600992,12671230,9227882,6216202,3985709,11913422,9015145,6283187,4024569,20777939,20807037,35132295,0,36185825,8439341,8174054,6036681,35239194,24444035,24455653
4090946,3799101,3710691,9037725,5682133,6296117,7366908,5435069,37249362,11853506,8920533,6213800,3977832,11912944,9003668,6304720,4020807,20739840,20748694,35209184,0,36242633,8460214,8176389,6044550,35253343,24496041,24514307
4108544,3997983,4101889,9892472,6230471,7166049,9073665,5655144,41398795,14658741,10036974,6458628,3870584,12974960,9392762,6312508,4013909,20804665,20835530,35250340,0,36199965,8435405,8178339,6051328,35402996,24448458,24573955
141861,316199,272346,1085596,555292,517752,628451,214699,2504562,2044197,2015718,1517309,899303,5705583,4259765,2798868,1469167,8032042,8470236,22341482,0,20151765,4813187,5287214,3614151,7693125,3041616,1974603
118530,291200,254126,1061236,542896,292242,125429,70689,531960,202527,135528,86592,52219,215930,141755,91570,52612,377677,357601,569197,0,606686,136791,158701,118433,2215270,1184272,1185883
170312,326845,297548,1172659,312999,83584,126796,70492,531624,202841,137075,88107,51850,199903,137174,88301,52723,260597,272797,539675,0,603132,143178,167739,373659,3781624,1625748,1696055
450292,927117,608098,888976,104519,85429,129884,73121,547258,202614,137449,87722,51400,203066,137295,88631,52399,702703,1005518,2830867,0,5528913,2009668,2815475,2633873,11645514,4581769,4135544
1693024,2933357,2695719,3954996,2889553,4163912,5169668,2576115,24009203,9107750,6595065,4608768,2981156,9218187,6463324,4405710,2830032,8071890,8241732,23169802,0,26460576,7056673,8621967,8132643,27872789,13219215,13647356
1265523,1943354,2497549,3705953,2635308,3658427,4176980,2045114,19072959,7135469,4758231,2857827,1694904,6690662,4694728,3149684,1921978,9983380,9786040,20894458,0,24003126,5544565,6430272,5000725,19414623,10766783,10387613
1499626,2382476,2771511,3761265,2063480,3356028,3564112,1663785,16108059,6109268,4560169,2977810,1839311,6731337,4539527,3066964,1916901,8075225,7730704,18065956,0,20247080,5143045,7335159,7195396,22004435,12876111,12606072
1395727,2024821,2148722,3161741,3048612,3263516,4001509,2135562,20247761,7660749,5073558,3376003,2050620,7566186,4998020,3114738,1760744,9878185,10773572,22780136,0,24050901,6082894,8068669,6535920,21857702,9316506,9974452
1372069,2264990,2864244,3824149,2875784,3801324,4202022,1888736,17150459,6007564,4344894,2826203,1658156,6609611,4642891,3235189,1927894,9264839,9409324,22285383,0,23729656,5746594,7350078,6392514,18430605,11782262,12675456
1517259,2118785,2053467,3254884,2409273,3008996,3605645,1893089,18178649,7681953,5323045,3386748,2012032,7932552,5262944,3471606,2355830,7435287,8067491,17510123,0,18543458,4902979,6692865,5718024,17532198,9097945,9355134
1419548,2228176,2883039,3814817,2802509,3860857,4332266,2097571,18502737,6349655,4401142,2876355,1792295,6571047,5098210,3380768,2047150,11050814,9917083,22976829,0,21760171,5200848,7675413,6762732,19268823,11769368,11382682
