uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
3980910,9900386,8232232,32378221,19690870,19123282,26258479,24829667,189190502,51973765,40451781,31116551,24264599,45959977,34898756,24108894,14285798,28391439,27606487,76423265,0,75406559,10080171,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,46377,31691,80749,63415,46377,31691,44492,44492,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,499507,349843,964670,717281,515741,349843,1520129,1520129,2995636,0,0,0,0,0,0,0,0
1153172,3988957,4422618,10902507,10333131,8745846,11735612,10844423,77076104,26910941,24051207,19303849,13007724,26959086,14028286,10074745,7559716,40253733,40561636,51137619,0,50290706,12426994,14167979,13690895,42834534,47328221,47329722
1322390,2303046,5095377,3186590,3091740,5709595,7887003,6293969,57242337,21019739,18150528,15314359,11869779,35998651,26501146,18103711,11920666,30010074,26348136,72447690,0,32017760,7276186,16966272,16311377,25869823,20756618,20752737
4297939,3825418,3732803,8789677,5763118,6322061,7307232,5349747,37738644,12915179,9622639,6692337,4114873,11960519,8886983,6262485,3986141,21624233,21646303,35402802,0,36486016,8386825,8222954,6081540,38645760,26361311,26363113
4024575,3420654,3433501,8273250,5511043,6200490,7272156,5342609,37524946,12804088,9513683,6385312,3918685,11951614,8867845,6141774,3932248,21428382,21449551,34894742,0,35741333,8310996,8058082,5962362,34636255,24988864,24982414
4041093,3442808,3518804,8666357,5546411,6232940,7286165,5361407,37661643,12843742,9244506,6157920,3932854,11982725,8912869,6154052,3939730,21193306,21146180,34988352,0,35738429,8325664,8078668,5966385,34790436,24698359,24719231
4047951,3627198,3662331,8925457,5649929,6326337,7464094,5521796,39046699,12458504,8949229,6219819,3972339,12033432,8975845,6230344,3980216,21385023,21453265,35126822,0,36006660,8351440,8114230,6007590,35106125,24856322,24864859
4033352,3649023,3602155,8562736,5451956,6117882,7128902,5116481,34926942,11945624,8912202,6189411,3961993,11965944,8941927,6208226,3975861,21010337,21024972,35124082,0,35950539,8310412,8102224,5982150,34899836,24632472,24938657
4033747,3671855,3632605,8735844,5568398,6224752,6988508,4994118,35133424,12023847,8993511,6236356,3968704,11999718,8950823,6213570,3963497,20942204,20904261,34928269,0,35859313,8313750,8109791,5988543,34904960,24701890,24862637
4063688,3691154,3649288,8779077,5566102,6052313,6708364,4995733,35037847,11973099,8959138,6199511,3984200,12036968,8975574,6229376,3989961,21090544,21046688,35148144,0,35939157,8319196,8107258,5989338,36584846,25097742,25133720
4071995,3691622,3660765,8811957,5406193,5906118,6750957,5029453,35279077,12045982,8992690,6224030,3987765,12005659,8964999,6197285,3970333,20921565,20858655,34881906,0,35756699,8273802,8075268,6099400,37906472,24819458,24881047
4046013,3684566,3637848,8300197,5131907,5836248,6656591,4976114,34891101,11901038,8914570,6192067,3981033,11976365,8907282,6158984,3958613,20707903,20741637,34915015,0,35702757,8301792,8316359,6214392,37485724,24838734,24837642
