uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
3974081,9906762,8210520,32441836,19722494,19149879,26421423,24956757,189592471,51861812,40288630,30943391,23940917,45471285,33400023,23984007,14054594,27010851,18801093,72373618,0,52903475,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,47279,32234,83352,65039,47279,32234,44451,44451,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,498981,347063,967416,719306,513895,347063,1527950,1527950,2967790,0,0,0,0,0,0,0,0
1106218,3994783,4523132,11399274,11082124,10946909,12606417,11566578,84459981,30271595,26669305,19210022,11980969,22619869,11826695,10073854,6992126,40612730,40831113,50604352,0,50151245,12340102,14218262,13651995,42728302,47358821,47360572
1312855,2302719,5056421,3141682,3683600,6635447,9395824,7341912,60831853,24385318,21306259,17739886,13849739,35192725,25006687,17612567,11632038,25961498,22745482,55421539,0,27149838,7282364,17137891,16497589,25975391,20500664,20447862
4294882,3882211,3708296,9161919,5580501,6249089,7349350,5395837,37998642,12985099,9737333,6537228,4044302,12129271,9292005,6412897,4106770,21719451,21712105,35982596,0,37092196,8529986,8310746,6327622,39473740,26269440,26217150
4051353,3456519,3567839,8772676,5553197,6240521,7292273,5361964,37704373,12787558,9242075,6143438,3945920,11914130,8871944,6122034,3937312,21379447,21322128,34726868,0,35553286,8261200,8058754,5964754,34802119,24923141,24935936
4040951,3539386,3617748,8712488,5531938,6236302,7298055,5364118,37797370,12408072,8951595,6177026,3970598,11980299,8946633,6181427,3972394,21244491,21217676,34993369,0,35682972,8269513,8074626,5973780,34742579,24852750,24862755
4053009,3742408,3704257,8992080,5667871,6375924,7526129,5572972,36503988,11947824,8985523,6227510,4004599,12003702,9052850,6248878,4001108,21408040,21329893,35025090,0,35846562,8263465,8084865,6004103,34981025,24801256,24838492
4054976,3690517,3633758,8654248,5502299,6211616,7226907,5022465,35243912,11973227,9002854,6229318,3997215,11962150,9001906,6246438,3999434,21178803,21153603,34991473,0,35840252,8274503,8092225,5992738,34896595,24601312,25039591
