uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
2850689,7493168,7830158,33053338,22597587,22849183,27129621,24865809,171911217,45984723,36991904,28067542,20379027,28522098,22487417,12628114,8347014,13638400,13881391,54551191,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,8506517,7715846,5905866,4002358,6799368,6774839,30288386,0,35308705,5882250,3138807,1419814,29157247,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59410,59410,322843,0,334171,72145,56905,36699,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1545526,1450925,2983670,0,3023837,634731,801507,690483,1887110,0,0
1552060,6124382,5352457,15860910,11282496,9504281,10609704,10183977,65644818,17827152,0,0,0,23447204,18534277,14389327,8767695,27355245,28146429,60480370,0,59342396,13224775,12030531,9993289,52941372,35487235,35070461
470368,813406,1747235,15241620,15969622,15588838,17358459,14138191,98239293,32411157,26262744,18450776,11000831,24292269,17088514,11201836,5198896,7735507,6252890,9277069,0,9996361,2612204,6047481,5861861,9726123,7257144,7274730
2172961,2692088,4530627,4794724,5701261,8134476,9106670,6348272,50084037,17112503,12824802,8293681,3361063,10982536,7656337,5109275,3104234,18843012,18788128,29625074,0,31899816,8450101,12908349,11507819,32492563,21851833,21606273
3988316,3462426,3570984,8949342,5668131,6353167,7389751,5535956,39243934,13297124,9369817,6199318,3973123,11851133,8965078,6208792,3982437,21199576,21225191,34999896,0,35872743,8174193,8051929,5929221,34688125,24260626,24308395
4009213,3700955,3635597,8750003,5555331,6234134,7153560,5353737,37612029,11978380,9047516,6256782,4004002,11860611,8994386,6251079,4007446,20522629,20519937,35177031,0,36071006,8238883,8124557,5966676,34801510,23931781,23987583
3988878,3721182,3648292,8813273,5607731,6283026,7228858,5401668,35361722,11999346,9082123,6306122,4027655,11915016,9045305,6271198,4034670,20556533,20579393,35081950,0,35926075,8237436,8117574,5988806,34865494,24052627,24134848
3962064,3685905,3621448,8788800,5582124,6233121,6935203,5057488,35427475,11954559,9040221,6292538,4028871,11870170,8998152,6226892,3990666,20610412,20602012,35022072,0,36003320,8219009,8111323,5991580,34931770,24156531,24264116
3948202,3663835,3616445,8764248,5575535,6033044,6643594,5048886,35422439,11984125,9072765,6307654,4040103,11978474,9032277,6259696,3997244,20530754,20603590,35292106,0,36092700,8244875,8137728,6016240,36587509,24414983,24258106
3969960,3657033,3607003,8746876,5356003,5838551,6614371,5009966,35291013,11952434,9044284,6303352,4053612,11965731,9044686,6278016,4009843,20550090,20540909,35147849,0,36007020,8237399,8119299,6112683,37508071,24560336,24481864
3982965,3705122,3630107,8235526,5142554,5843758,6598713,4982345,35137246,11959068,9043612,6303593,4055900,11950260,9042341,6282006,4007346,20743356,20785565,35129517,0,35882088,8182052,8585924,6342709,38845140,24597323,24554249
4009766,3659835,3433120,7904690,5146179,5838668,6606101,4965465,34867875,11878870,9047412,6303811,4047048,11998573,9073834,6321668,4043409,20480512,20438906,35216392,0,36012832,8932283,8642206,6270849,38202821,24591495,24795420
4016649,3482870,3445811,7916379,5135552,5837714,6608906,4991946,34965303,11868204,9023020,6293500,4053385,11970193,9044209,6300108,4025152,20576197,20540695,35055192,0,39072618,8933092,8638966,6265427,38186791,24525054,24519602
4020774,3498430,3463318,7946675,5146475,5831014,6588788,5006542,35017909,11855146,9000001,6290511,4045026,11961968,9050158,6304441,4040612,20747859,20750287,36377771,0,38942736,8907522,8610752,6254669,38067278,24435641,24261681
4030581,3507854,3472586,7973143,5163240,5825088,6574525,4974216,34847421,11811446,8968458,6256331,4018715,11948889,9041308,6300409,4039387,20684366,20729485,37425224,0,38796937,8910372,8632696,6261348,38194780,24361240,24209960
4023740,3514228,3497754,8035444,5222244,5882365,6632013,5005340,35123301,11870100,8982475,6247741,4013559,11939444,9044606,6298840,4038615,20928931,21000246,38569079,0,39720778,9055182,8757348,6352572,36530956,24270495,24224428
4026381,3518196,3501063,8012776,5198396,5887545,6619510,4992161,34952518,11854697,8984791,6235832,4009617,11898136,9052974,6297946,4371412,20957126,20936600,37975464,0,38647232,8746611,8500403,5980279,35074919,24167047,24143734
4033603,3511171,3486401,8009911,5199914,5887248,6886303,5160882,36235625,12249127,9307584,6468487,4155479,12263760,9001311,6792629,4372463,20960261,20959329,38036931,0,39257876,8929483,8100304,5985587,35146730,24303993,24308343
