uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
4788583,8297327,8636623,35438060,20207685,20851271,28071603,26365520,194327377,51761355,41950340,32672426,22477976,42788669,32964966,22137199,12849765,29097619,19038282,75208264,0,67511970,9768235,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,49007,33413,86519,67394,49007,33413,53059,53059,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,541186,352416,975969,724083,519268,352416,1588423,1588423,2520070,0,0,0,0,0,0,0,0
1128387,3939614,4372440,13168863,11760629,10474563,12213403,10981456,77559651,27367363,24472620,14503071,7313620,16743522,13945263,10473208,7270954,42423413,42692018,51069582,0,51875263,11758832,14142603,13633127,42237210,49615161,49602764
1168608,2490098,5180815,6280606,5076183,7021991,10576835,10873390,93401151,36869322,29434823,20273419,13060960,32482695,21914460,13200140,6535830,17235798,15520105,22540567,0,24101290,6395556,15180470,14616013,23065709,18271439,18239212
4015173,3494475,3464712,8062585,5277498,6018938,7482464,5523411,38874632,13196192,9873044,6872710,4413644,13647232,11818595,8166014,5155890,22746940,22712878,44512786,0,45103311,7918437,7903120,5931882,34645393,25303888,25415458
4010184,3461250,3439549,7831315,5083082,5852795,6691831,4917584,34418286,11737030,8790688,6324033,4230619,12573303,9431791,6559498,4226061,21432790,21410932,35491947,0,35197877,7992384,7949337,5890366,34282928,24871186,24881675
3989433,3454233,3438245,7853061,5097634,5853582,6686511,4916591,34461284,11729156,9115458,6540586,4204330,12518017,9414049,6520867,4198101,21549547,21367434,34239723,0,35061035,7935878,7878299,5850023,34142760,25169880,25114417
3996322,3471015,3441785,7829351,5082711,5849847,6675691,4921735,34471718,12175168,9434927,6549416,4225845,12610988,9477345,6550820,4219125,21415820,21343102,34283612,0,35144618,7985394,7915038,5862792,34271906,25099436,25086094
4046360,3515743,3471285,7902497,5124915,5893823,6704446,4964533,35803221,12457313,9406862,6573008,4264857,12593285,9516237,6625699,4134264,20917301,20919094,34658007,0,35600693,8060047,8034228,5942921,34733350,24666214,24628628
4028037,3513892,3471757,7921399,5129528,5891045,6988501,5292213,38167461,12792256,9603931,6696075,4345490,12776100,9381963,6364334,3966614,21002387,21107247,34803396,0,35513782,8041345,7992232,5915784,34570121,24689190,24664803
4020224,3488566,3461627,7864332,5111346,6061710,7257266,5295459,37221958,12638199,9482344,6555954,4211785,12204169,8885688,6130480,3946636,21307894,21359071,34589783,0,35433761,8031520,8003599,5923786,34556137,25015083,25033231
4020197,3502648,3468604,7918045,5336441,6246780,7263774,5306345,37243076,12633900,9470974,6576021,4083873,11815886,8874247,6149313,3953891,21501655,21526606,34792148,0,35615877,8089128,8018820,5937856,34618550,25129030,25156077
4017859,3488411,3475152,8322246,5524228,6248494,7259256,5307757,37263420,12641174,9480435,6344057,3942778,11838674,8858685,6114283,3946950,21179671,21148077,34592474,0,35386530,8014266,7996693,5924849,34543955,25176903,25116606
4029923,3520228,3553496,8617051,5504799,6251906,7273877,5354062,37724949,12670054,9233179,6202710,4007215,11812205,8921496,6216211,4011014,20911203,20907418,34880789,0,35763972,8106971,8051341,5946698,34641919,24753337,24646615
