uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
4724790,7434235,6345884,31678406,19516001,18852286,25303391,24044457,182841322,51644186,42488190,32932090,24528727,43468576,35871812,25280192,15456196,27878179,27457654,75165384,0,77818690,10571928,3553088,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,48502,33106,85596,66316,48502,33106,51238,51238,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,539372,352754,964769,716418,514719,352754,1553322,1553322,2377526,0,0,0,0,0,0,0,0
1157684,4017775,4431737,13372619,11900222,10578753,12275157,11090525,78578162,27666777,24696234,14448741,6978082,16735693,13501728,10206599,7162245,42794158,43027262,50743358,0,51837318,11926730,14318032,13728992,42882785,49544529,49539166
1322165,2741716,5777476,9667622,6503621,9169038,12614181,11069833,92765004,34642541,27311029,18053706,12143316,31834155,22149770,13868186,7142686,19327162,17234152,25379599,0,27122993,7206987,17133656,16502434,26067124,20457686,20412457
4260842,3759617,3854910,8689243,5520520,6250045,7252884,5341563,37601591,12775178,8849157,6151753,3929474,12030957,8987979,6234445,3979692,21127655,21167415,35152678,0,37032814,8466285,8724191,6308777,39276171,25918331,25896897
4017791,3697689,3613987,8724668,5520179,6232076,7238107,5334753,37499317,11841159,8891346,6172651,3942333,11823123,8878161,6164672,3934519,20574435,20593381,34566152,0,35489877,8099395,8011587,5928780,34509951,24415892,24533249
4044087,3693771,3619304,8762295,5547431,6224561,7221932,5171520,34797684,11801119,8897995,6197504,3962874,11785588,8876687,6165267,3940320,20661696,20656704,34620709,0,35473680,8131433,8042228,5962107,34725176,24220843,24387654
4018606,3738629,3647109,8977213,5672502,6355945,6907108,4948700,34793927,11843788,8910781,6188828,3953925,11798035,8888243,6175304,3950473,20635248,20589988,34516277,0,35510035,8127274,8043405,5960211,34767780,24713727,24949049
4071426,3699542,3604276,8626311,5480248,5877956,6659788,4982358,34832545,11833947,8935480,6210370,3997288,11831195,8922064,6219220,4006146,20532772,20577903,35002916,0,35728662,8171146,8087402,5996380,38080476,24504596,24504676
4046265,3714660,3619191,7937649,5131347,5868615,6655754,5003550,34992498,11861384,8963324,6239549,4018076,11834569,8946854,6236675,4007302,20541011,20547437,35037734,0,35828780,8191761,8618904,6265517,38065935,24398741,24314933
4058614,3720699,3461746,7977153,5152488,5860783,6649071,5013235,35004198,11844224,8943766,6240476,4007479,11853508,8953036,6232204,3997096,20541080,20481040,34912707,0,35665744,8852475,8578341,6229769,37916813,24393450,24405869
4065182,3536342,3474016,8007263,5178570,5885152,6654804,5011955,34833797,11794662,8925319,6223683,4003814,11869947,8977105,6270784,4032154,20563201,20478794,35155952,0,38978756,8865471,8601493,6244917,37981447,24609705,24752403
4037665,3499168,3458493,7960510,5125487,5864138,6609955,4999787,34910824,11783468,8917678,6223080,4006046,11792323,8924173,6242657,4016463,20443674,20447586,36009597,0,38303543,8713971,8510607,6207644,37753987,24458057,24233737
4080881,3549214,3501531,8035320,5171975,5896383,6652303,5029924,35147120,11855548,8972678,6249989,4028989,11848650,8977053,6284157,4049944,20397909,20585596,38924938,0,39715482,9052743,8725190,6316388,38735566,24083922,23904853
4068113,3532938,3477186,7995250,5166569,5896947,6651548,5038313,35222785,11815610,8966573,6275236,4038946,11848041,8978482,6280788,4031769,20635439,20601714,37808493,0,39059151,8913676,8584828,6235964,35069364,24003724,23998052
4052764,3518589,3474231,8033082,5185404,5896203,6673963,5074192,35378393,11893584,9008850,6265475,4032426,11827380,8981349,6248253,4355357,20547636,20531218,37882474,0,39218384,8929659,8642280,5994265,35060105,23960200,24005496
4058937,3522627,3474670,7973931,5144950,5866258,6628570,5022392,35034973,11779897,8923051,6232259,4019236,11818967,8971862,6749045,4361436,20574061,20622077,37854340,0,39131947,8927626,8107413,5995071,34996560,23810519,23863557
4062069,3523825,3476645,7977978,5145052,5858941,6634733,5015800,35036625,11799446,8948885,6239762,4016535,12499383,9531620,6696412,4330620,20658634,20682296,37994832,0,36160807,8204333,8130537,6021382,35169854,23904245,23910203
4091706,3644217,3579742,8466212,5409269,6109316,6967320,5245354,36504797,11889972,9002664,6705265,4454482,12863505,9771363,6848958,4423642,20616077,20626007,36394057,0,36018021,8221859,8115043,6014553,35134752,24045119,23988165
4070675,3531260,3473509,7984868,5168046,5885262,6660432,5063034,35330835,11862256,10008652,7062780,4571864,13190706,9939362,6941945,4461535,20538739,20203916,35142602,0,36023331,8238674,8129693,5999445,35154578,23716568,23754435
4064279,3534620,3479075,7999401,5161895,5880236,6625656,5042538,35173570,12669512,9666163,6778353,4380331,12724234,9685764,6785275,4371931,20234088,20233533,35291739,0,36132230,8244233,8134033,6017255,35251700,23807333,23721946
4086403,3546982,3506999,8072444,5195644,5917533,6661863,5028670,37832674,12669137,9614892,6728226,4346761,12668981,9583928,6722889,4021889,20240108,20250155,35132373,0,36033236,8212756,8124774,6014485,35182792,23833838,23881192
4067693,3539831,3486873,8018145,5179820,5912738,6702945,5387057,37797142,12710616,9654096,6768625,4360116,12655007,9606477,6245781,4022137,20192927,20292887,35075374,0,36053503,8265390,8129020,6008217,35171155,23764836,23750623
4098575,3560461,3497480,8041524,5180220,6068467,7337058,5499529,38604957,12907111,9820175,6920848,4505190,12683340,9011097,6280090,4043902,20282222,20308228,35087289,0,36026167,8224379,8130738,6022489,35335813,23990082,24049743
4063445,3532470,3482348,8020377,5527165,6249310,7189591,5386763,37578767,12615686,9568868,6694922,4106078,11953638,9077584,6330600,4075068,20352548,20302663,35380738,0,36207574,8258370,8147074,6007602,35146892,23827950,23856122
4072900,3527128,3648834,8825119,5570903,6262842,7232994,5418469,37926588,12729565,9031158,6278273,4034114,11817460,8951201,6246540,4029095,20223565,20186836,34892279,0,36057602,8223386,8137855,6016519,35198145,23763106,23758227
4070120,3794289,3690518,8897834,5619918,6319225,7262449,5423176,37977739,11838822,8956737,6245952,4030020,11778602,8928305,6235101,4025132,20271314,20255380,35043929,0,35839638,8204717,8103749,5991350,34984964,23767242,23771717
4082111,3794812,3681774,8897522,5609772,6301583,7267551,5422268,35291360,11869385,8975011,6257629,4026229,11830421,8973260,6252086,4019443,20346557,20365645,35128826,0,35950960,8197818,8118393,6011060,35124107,24019334,24066865
4079933,3730952,3640554,8823721,5598284,6302286,7240510,5062733,35216822,11870946,8995981,6261076,4050895,11928282,9082606,6305157,4050308,20743174,20725545,35333087,0,36157777,8217491,8138538,6021061,35195681,24066468,24402752
4081750,3831500,3706733,9044266,5686072,6228768,6700393,5049699,35231082,11847348,8973136,6277351,4056061,11827137,8973010,6257840,4046650,20341819,20335414,35191934,0,36006364,8202571,8137528,6026461,36770202,24517055,24558813
4088692,3763582,3659942,8761512,5271300,5920823,6696620,5044743,35286704,11880338,9035986,6300000,4064581,11882811,9011255,6283873,4048031,20341018,20385575,35233996,0,36030365,8227765,8160401,6227588,38248143,24304793,24292851
4084383,3769522,3670810,8035589,5156723,5891446,6641496,5009978,35043441,11812657,8971680,6251285,4029140,11840050,8977691,6261999,4050944,20398322,20437996,35102472,0,36035901,8230333,8687514,6308127,38377135,24474070,24469488
4101543,3793872,3516247,8093921,5224012,5961202,6739920,5094523,35638924,11929651,9061054,6318927,4060397,11870532,9013404,6307622,4065348,20569080,20524434,35397232,0,36393080,9005587,8705890,6316131,38467063,24354766,24347234
4078826,3539429,3476457,8011229,5177088,5930613,6670274,5022786,35221012,11883294,9032688,6311111,4066784,11893421,9033654,6278116,4035015,20241664,20240457,35011775,0,38344352,8786841,8552331,6233789,38083522,24303383,24385846
4076374,3554167,3493566,8023256,5185402,5933053,6701422,5049950,35364702,11914291,9039724,6306792,4053383,11867805,9005624,6267357,4041628,20404547,20548070,38907507,0,39798910,9088619,8787038,6353249,38911297,24221310,23875609
4152724,3908507,3913029,8687214,5212870,5959247,6700952,5044464,35298893,11892703,9012423,6281413,4051986,11842814,8955196,6249468,4033096,20326165,20451228,38916745,0,40309739,9139877,8991232,7079324,40896990,24753563,24631556
694824,816730,1151170,3120006,1981631,2851524,4838621,2411385,20942510,9485141,6457308,3730374,1750990,9725187,6428802,3355793,1554170,6609866,5659521,12906672,0,8243496,1153892,816004,292740,788136,1219853,2526357
85649,48753,49522,138541,73764,83400,136510,77489,579070,224832,152409,97854,57984,232118,141387,654327,424005,940835,938223,3673390,0,4138066,926226,163271,120272,530243,356212,350599
83168,48478,49542,143271,75754,85449,127547,71121,539134,210686,146895,92084,51921,228082,760587,564340,383762,1108210,1146525,4109964,0,4599704,267092,336443,273393,964012,762429,384580
79954,47492,49835,141572,75256,85510,128351,71477,538884,206807,139477,196178,299284,2188376,1673054,1118864,665202,2264639,2271086,6217368,0,1309960,135589,160893,119516,530237,335509,340496
1465091,2961386,3098521,4628537,3538071,4865034,5514606,2650925,24237679,8089912,6145000,4783723,2921210,8991486,6561122,4530844,2890682,10322603,10510569,25871553,0,28009751,6644004,7458220,6020385,21538532,11476267,11778458
1499118,2100433,2049803,3247305,2368808,2997065,3659823,1909706,18276044,8151243,6097755,3959459,2376696,8953032,5964181,3936208,2368899,7003544,7535009,15398067,0,16246670,4294113,6283206,5733012,17593901,9057086,9194113
1380256,2148157,2832372,3813488,2851416,3815132,4461015,2157921,21259638,7852227,5264878,3497784,2162169,7144494,4883188,3335041,1864647,9777889,10418487,19411999,0,21082202,5168373,7667398,6856602,20098991,11282379,11990409
1389900,2145207,2666059,3579807,3050438,3599522,4051893,2241724,19803870,7479238,5243364,3589777,2135019,8952754,6016087,3442900,2115059,8155443,7879212,18143654,0,16893491,4165940,5808555,5440388,16645588,11614590,12290749
1597439,2179466,2134286,2991293,2255519,3136470,4323396,2304606,20483397,7776373,5279805,3686701,2322111,6899902,4316564,2901591,1759505,7551537,9084691,16878997,0,19818033,5123282,8375736,7254673,20419383,10551805,10300390
1243042,1928036,2663151,3546475,3113897,4238593,4879400,2660335,22845939,8517638,5769478,3690122,1982023,7223023,5217649,3375225,2051216,9453115,9612198,20229776,0,20124435,4489465,5554520,4676950,16379618,9531422,9578818
1619167,2390680,2677272,3991569,2332131,3583456,4158471,2194592,18826646,7287209,5145071,3289511,1880485,7126881,4895932,3164162,1915117,9732840,8676219,18292062,0,18103450,4453214,7441601,7455024,19831014,12128677,11881720
1369053,1935959,2301390,4127433,3506718,3785882,4679116,2607975,23039246,8646802,5763835,3444096,2094436,6839731,4489866,2789709,1660767,7327392,7176959,16652680,0,17978568,4455924,6346306,5426003,17189089,9983363,9470732
1267629,2187033,3057956,4915296,2687814,4249366,4732114,2076860,18272421,6163877,3757770,2264050,1321269,4661220,2783471,1877966,1108498,4563927,4432789,10370710,0,11867059,3073051,4741990,4929333,13899795,10085304,10424418
122687,244026,219270,890350,478988,472512,746034,486560,988943,256944,173471,110784,67743,256369,174196,112130,68494,347872,338887,672663,0,705079,168164,211710,158659,650491,407524,419684
3603859,8217937,8630112,20202911,12484048,12973407,12603131,8439440,56534829,13060077,6012852,3127091,2172685,9807189,13891445,13161623,9750965,12196640,11969588,75285853,0,75552529,11500972,10177238,9912990,54331773,24337682,25056712
3464037,3514475,4163460,10470519,6990665,8762810,13750917,8556529,71353600,24728258,18326444,12480124,7032465,22364839,14781581,8618950,3984587,12867177,12430803,33752242,0,33913890,9588925,13666499,12768481,39601933,19704116,20092664
4247698,4029462,4874428,10805833,5896222,7461580,11848260,5646174,47814206,20080029,13153305,7580374,3569383,19667128,13076343,7570130,3731487,18661614,18678110,49406442,0,53071532,14724925,19108213,16572298,47667939,23962872,23941364
2628982,4772556,4951408,14883285,8727872,9679930,13945527,8428863,64544848,20423423,14705974,9895667,5776279,16684895,10699734,7195065,4123596,10827128,10436607,41553575,0,42705020,10267174,10384301,7735901,46898698,15657632,16888553
2780088,5748044,5497910,19098994,9466698,8442593,11759516,7619821,55092877,17163258,9654534,4766111,2476244,7486826,5642264,3824031,2427247,13656428,14576379,30945134,0,42597101,11164797,13651007,10692455,65351663,22693101,23328800
937647,1799866,1500745,1892729,901864,1719128,2349823,1163681,13447994,4727277,3766075,2673638,1639160,5182745,4264927,2717521,1967802,6905517,6525233,22697399,0,33094689,8176366,8977974,6529164,32949707,10076558,9195600
4343002,4308111,4355253,13760113,7933981,8509426,12874779,7844587,58551433,21441699,15028515,9960076,5790019,20320431,14257179,9196384,5118861,22475253,23114400,50175181,0,53565267,13736085,14868810,12344754,48981035,30218816,29575554
6477586,5380632,5300504,15000750,8336459,8263331,13388671,7440143,54288638,21876085,14828935,9116481,4756323,22860114,15604054,9653192,5127537,28907393,29207916,63303098,0,69901561,17815472,19525603,16218662,66669050,38778479,38551755
2096238,2062828,2412137,5347112,2929332,3772977,5976819,2769868,23682161,10091666,6657546,3850126,1819119,10074630,6643354,3853583,1824143,10466551,10630899,26595687,0,28706860,7821741,10081861,8675841,27272349,13728424,13497808
2110276,2075913,2424602,5345917,2949233,3789691,5994318,2768639,23650737,10077436,6658888,3848931,1811735,10088505,6625499,3843161,1814493,10637609,10759882,26132174,0,28462171,7759726,10033971,8649323,25641664,13599604,13633271
2111405,2076898,2407117,5321366,2926501,3743378,5924070,2745837,23441261,9971328,6590538,3812689,1799675,10029727,6629657,3922046,2093799,10787643,10780968,26933739,0,29073699,7924574,10062397,8455978,23902316,13340745,13363171
2126075,2085144,2432353,5362052,2945950,3775162,5977590,2775322,23688043,10084574,6653011,3862230,1811579,10046471,6951223,4356953,2159530,10838476,10819674,25989344,0,27719242,7323740,9456971,8346072,23942417,13483195,13493953
