uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
4552442,8246934,8307482,35933087,20739142,20864294,28244517,25763761,188149051,50477688,42734407,32957748,21606700,41565257,31443651,22142890,13538724,26751551,18953045,65835854,0,37888181,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,73167,52578,35470,65567,65567,299841,0,317764,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,750408,518394,352046,1602849,1602849,3004212,0,3055136,540104,0,0,0,0,0
1105686,5554956,5749424,14601980,12320377,11584862,13668770,12796305,98026529,28661817,23827473,0,0,20506348,13414274,9140251,5222906,42509306,42683040,50169450,0,50530160,11840140,12683587,12891523,42413994,49287832,49310648
2082047,5233959,6822402,11389091,9728183,13440165,16874588,15351948,107952330,32938829,25186534,17800120,10597244,25621814,15829777,6630173,2400410,17452300,17502177,25605651,0,27312164,7253093,17235691,16605180,26184130,20493309,21892620
4238283,3624470,3585089,8679647,5503866,6195825,7227225,5148117,34541594,11805594,8875964,6263556,4007255,12047714,9045794,6268845,4009352,21107419,21187105,36096504,0,40575086,9092684,8679908,6273867,38870698,25926346,25728193
3997496,3657345,3583907,8665425,5486714,6165814,6888248,4925017,34584642,11798191,8864667,6149573,3935470,11766923,8835508,6110610,3893756,20832246,20881266,34184629,0,35141108,7992748,7945753,5896406,34302113,24613401,24894231
4008790,3623374,3554152,8673564,5491811,5979971,6631009,4900893,34408505,11847434,8820206,6076477,3874349,11797164,8809565,6081372,3876286,21272825,21247465,34167539,0,35113691,8037777,7932765,5884115,35643959,25278463,25377855
3998896,3703114,3628506,8998661,5277040,5795167,6592313,4908350,34722089,11884596,8914683,6172521,3943374,11885598,8934558,6201511,3950442,21083373,21092338,34814314,0,35568837,8154179,8038872,6167060,38226264,25390775,25471592
4052194,3645695,3553549,7968222,5150713,5853302,6656327,4996010,35122269,11918600,9008710,6232934,3998631,11915207,8970717,6212953,3975742,20748990,20733001,34852639,0,35741193,8269056,8563028,6228115,37576509,24910442,24847833
4039899,3477205,3451173,7930580,5148371,5874350,6667208,4977585,34901117,11852805,8927719,6225842,3990547,11849520,8945661,6211304,3977641,20578852,20602284,34876404,0,38802970,8853204,8574543,6224496,37811932,24674206,24724594
4037211,3482531,3441444,7906783,5144549,5857474,6660372,4995045,35011399,11863198,8960653,6232367,3990274,11853492,8939728,6223411,3986070,20607380,20630066,36163091,0,38927362,8871789,8597484,6235385,37911603,24792424,24564873
4033324,3492374,3448221,7983681,5196598,5885903,6651311,4977931,34849377,11885385,8941575,6201225,3980493,11894200,8951894,6218230,4014212,20768943,20891742,37736136,0,38882756,8830573,8579618,6222063,37819925,24989273,24851388
4038812,3473970,3437319,7905380,5148116,5873205,6648119,4990187,34979487,11882557,8960630,6235586,4001066,11907343,8966973,6228583,3995343,20853810,20925851,37128805,0,38530455,8770040,8574520,6238407,36318302,24392818,24320477
4048467,3486795,3451075,7961063,5168352,5884346,6673814,5034395,35201329,11950144,9050125,6275114,4020746,11938603,9030565,6280334,4337822,21150280,21097948,38507570,0,39757553,9016207,8723518,6106136,35033081,24230285,24163841
4084818,3513248,3470683,7984505,5176213,5906837,6682402,5008219,35003962,11861900,8986377,6254228,4025968,11894624,9066332,6741424,4340152,20980429,20896731,37686555,0,38568529,8682841,8090391,5993873,35023885,24218872,24244940
4057114,3494420,3458128,8014312,5191809,5907709,6693814,5037245,35211280,11912392,9007839,6237051,4022287,12291294,9664975,6754283,4348956,21126837,21102725,38069647,0,37739516,8249156,8101369,5986760,34873607,24273684,24311947
4057860,3499019,3448783,7949165,5167714,5876061,6669926,5006071,35092223,11884580,9002357,6258665,4185780,12787296,9678746,6765693,4346739,21091633,21065242,37926122,0,36056467,8220743,8116755,6007021,35069285,24413571,24382133
4075585,3509187,3461346,7978759,5167848,5883559,6658006,5011402,34877421,11817944,8930164,6398493,4235375,12533287,9559229,6703666,4323455,20774038,20719584,36249953,0,35783662,8127346,8020948,5947163,34837523,24162826,24252741
4072873,3616413,3547008,8397553,5375401,6066442,6949037,5011386,35145199,11907872,9595712,6870821,4402017,12887134,9775696,6846632,4406894,20947393,20658028,35111219,0,36120596,8226531,8098364,5995048,35073895,24392157,24784021
4080092,3509572,3469666,7985148,5173058,5898499,6681702,5022185,35197852,12751052,9656367,6737738,4345907,12706101,9623316,6683356,4289909,20611414,20654552,35195103,0,36079818,8201116,8111677,6010609,35174164,24182090,24278741
4075933,3524471,3467754,7967092,5164551,5888396,6679999,5001034,37680621,12678357,9620354,6719451,4318565,12698150,9641706,6729586,4012282,20604476,20533567,34967984,0,35907452,8200072,8095966,5995638,35198521,24241063,24215613
4084725,3527238,3481600,8002213,5156054,5878495,6923649,5367346,37768203,12693880,9645736,6747508,4333111,12725136,9328464,6246871,4011764,20584611,20486012,35000251,0,35888095,8201115,8098545,5998092,35088054,24195317,24172904
