uops_decoded.dec0_uops,uops_dispatched.port_0,uops_dispatched.port_1,uops_dispatched.port_2_3_10,uops_dispatched.port_4_9,uops_dispatched.port_5_11,uops_dispatched.port_6,uops_dispatched.port_7_8,uops_executed.core,uops_executed.core_cycles_ge_1,uops_executed.core_cycles_ge_2,uops_executed.core_cycles_ge_3,uops_executed.core_cycles_ge_4,uops_executed.cycles_ge_1,uops_executed.cycles_ge_2,uops_executed.cycles_ge_3,uops_executed.cycles_ge_4,uops_executed.stall_cycles,uops_executed.stalls,uops_executed.thread,uops_executed.x87,uops_issued.any,uops_retired.cycles,uops_retired.heavy,uops_retired.ms,uops_retired.slots,uops_retired.stall_cycles,uops_retired.stalls
3959572,9295055,8713513,35377208,20588147,21685791,28854377,27145007,197068577,51567262,41968843,34831328,24009810,42380257,31880307,20567104,11512093,19463360,18827488,70406517,0,49434018,6335807,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48932,33384,52121,52121,275646,0,288925,60554,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502491,353262,1612571,1612571,2989978,0,3028003,636172,828091,0,0,0,0
1167890,4086787,4564558,11530086,11150415,10887746,12592518,11468775,83023286,29914204,27027569,19296314,11836547,26305890,15250436,10005289,5752316,40481652,42249322,50991552,0,52034335,12136064,12691643,12231209,42980432,47355592,48064615
1337761,2340749,5151582,3203751,4136412,8619683,9554377,7437897,61655717,24680597,21457903,17650200,13250927,33164530,25268305,17681797,11352805,26565348,23390502,57042582,0,27248514,7399652,17186585,16550725,26184069,21085824,21120319
4269327,3870200,3690259,9600559,5746358,6261397,7342388,5378496,37788567,12945308,9710918,6219365,3939287,11980468,9122664,6287356,4013312,21353309,21376222,35403414,0,36573347,8512815,8261757,6204619,39173602,26196032,26125153
4033953,3463642,3633652,8738590,5544148,6205410,7284482,5361348,37690251,12835950,8966516,6187270,3960665,11957455,8985274,6181014,3949981,21119150,21081500,34695912,0,35484158,8209230,8027039,5942109,34688720,24617040,24655893
4059026,3675379,3646421,8759143,5558563,6206253,7293053,5376080,37814354,11988154,9001056,6213328,3968506,12019522,9042229,6244260,3986935,20941376,20933668,35094338,0,35784029,8288734,8098327,5997010,35009190,24820733,24833960
4068310,3752853,3680301,8952194,5667776,6343414,7484369,5395076,35143328,11958336,9010932,6240501,3976750,11946552,9011881,6201415,3964989,20847542,20894669,34931534,0,35870191,8318249,8118894,6003244,34935446,24521721,24713524
4057519,3683658,3631387,8639639,5493992,6151698,6976099,5027327,35266131,11965779,8992739,6222792,3972493,11926249,8983941,6195174,3967726,20906415,21026393,35049514,0,35975447,8306555,8095009,5977299,34901869,24784414,25026105
4052685,3707527,3654809,8774714,5549002,6019016,6720801,4998611,34915452,11896784,8977185,6215195,3975336,11903678,8970197,6206062,3987175,20862724,20892729,35042679,0,35938614,8302112,8116013,6002977,36516349,24880711,24855750
4062274,3697193,3630146,8757101,5146049,5847779,6723916,5009170,35143963,11980791,9006132,6226663,3969167,11903562,8971303,6217445,3987514,20590820,20531471,34932228,0,35822040,8295450,8076287,6228277,37907877,24897141,24994366
4066369,3744994,3678865,8035415,5230791,5914810,6797696,5076346,35220160,12010895,9053118,6257712,3992283,11947955,8995006,6228680,3998491,20806947,20783123,35084929,0,36035167,8322664,8601727,6266766,38106991,24777451,24788993
4060915,3720334,3476138,7940803,5172037,5852306,6718101,4991428,34833376,11887599,8951117,6223395,3975142,11918322,8987058,6228932,3977343,20895876,20817713,34748853,0,35546553,8818960,8452267,6161091,37306933,24549477,24640591
