cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
45310381,33135972,77423018,46653204,28066328,145658898,52310164,59850332,6849482,8209397,59818909,194328703,268363
99200,48794,143433,81108,55800,307350,105516,0,0,0,117117,291224,234
1696000,217186,2454040,1816706,376524,2744537,812776,935826,0,0,1620823,3047655,707
40759481,85797673,59003377,46972491,7142337,64223461,14432992,17323538,10881654,11406134,37538500,64673536,56635
37289320,30074855,50980386,35307846,10254004,76719109,15869060,15704098,2233450,2924739,22636491,62104553,109373
23113316,2432663,33666767,25337527,6194163,49380720,11794394,13312958,486035,890240,18535544,36816284,23434
22711373,2028327,33089063,25086596,5901077,47308305,11189158,12581942,319158,696722,18180766,35232613,19569
22912692,1982038,32970829,24839490,5658341,46644486,11175915,12579761,290075,668577,18148400,36592099,20345
23184969,1990867,33426527,25085330,5941785,46954579,11026871,12354687,265985,638978,18406799,37269524,21044
22953748,1893769,33239644,24996895,5931405,46648375,11261508,12667122,212064,576467,17700920,35428723,21360
22587994,1781419,32827320,24808391,5909041,46462630,11245873,12646350,157522,533948,18024355,35336667,20295
22969296,1872535,33011984,24848300,5695594,46107028,11260349,12660167,221206,584002,18014818,36701217,21464
22892238,1893386,33079284,24824299,5909433,45323928,10872648,12284912,208948,584423,18067475,36960726,20682
22869399,1881104,33074428,24842134,5938389,45884929,11270880,12671974,219898,588416,17594162,36020688,21536
22546009,1727484,32954561,24845660,6040929,45904502,11429337,12853717,174691,524751,17928573,35371567,20895
22732325,1758856,32682433,24497740,5720562,45052417,11299124,12710244,184985,539572,18121575,36966593,22347
22941871,1818869,33116885,24879850,5959593,45133760,10945692,12354709,196929,563227,18126337,36926441,23085
22806989,1775322,32976024,24723395,5953848,45343088,11297973,12693596,180962,534594,17578371,36205368,22493
22424280,1728755,32856397,24605177,5931787,44983030,11294007,12704282,165841,516536,17725485,35426734,20647
23040724,1762255,33077199,24830021,5956860,45567213,11627179,12935932,134422,494449,18463492,38269752,23542
23015469,1716347,33252084,24940285,6037964,45024994,10879758,12290497,149674,522368,18224051,37559393,22848
22812443,1766984,32974072,24731788,5980353,45291966,11371944,12804717,195933,540212,17649849,36373811,22984
22468866,1636749,32814425,24544827,5947279,44657601,11273583,12692980,122416,482333,17736456,35671813,19611
22682156,1673390,32642735,24620807,5834392,45267068,11316666,12739651,140739,507407,18046171,36928988,23037
22984598,1642164,33241834,24790680,5964530,44895990,11104013,12509479,126074,486702,18176328,37496698,23759
22723047,1613622,32912153,24729991,5938823,45088562,11282273,12713517,125662,478635,17447298,36202819,21998
22576147,1629901,33058967,24756752,5964418,45214587,11328896,12743922,126079,487440,17825370,35654904,22423
22473791,1617804,32532943,24539349,5953096,44902290,11297778,12712629,116151,467240,17960807,36280105,22030
22699320,1608895,32808861,24562535,5715647,44212069,11094165,12705511,112264,473898,17916592,36784672,22472
22837310,1634725,33132919,24870942,5984103,45139623,11135893,12346400,119654,476419,18002979,36852490,23530
22826525,1582383,33210867,24853129,6072931,45310709,11527055,12938271,91483,459994,17756116,35618393,22492
22552676,1590725,32456586,24550005,5825872,44914350,11310168,12722626,103980,474652,17960113,36166673,21808
22777974,1588635,32958531,24668913,5740403,44534493,11072733,12647594,99259,466167,17934735,36758716,23538
22765282,1560536,32932778,24649448,5932231,44934802,11092664,12305607,98269,458007,17962219,36905437,23463
22799087,1567956,32964068,24719993,5971916,45070178,11353694,12771535,100317,456963,17553529,35608425,23025
22718002,1515644,32888370,24828683,5962854,45281627,11523227,12936262,95801,457860,18218089,36365358,23022
22971929,1596432,33156670,24783780,5927277,44618741,11082246,12496302,119825,473188,18137145,37541680,23217
16815828,1255362,25321388,17983193,5107177,67725603,9511624,10115244,98183,356200,12991317,28350279,70080
1014147,543147,1319286,828722,315205,2630057,612613,722932,82876,84489,539206,2123573,6072
355421,443199,1076728,689780,351128,3446002,681535,708618,201995,227358,706741,768325,2001
762533,272706,741251,468643,205087,2360928,618126,849127,89319,115344,1058050,2904907,3652
8893581,1583574,12534781,7631182,3920751,28979619,4156791,4684642,237833,562364,7332645,20040504,43215
11719983,13807396,17135448,12029223,3212170,31870599,4859932,5877685,2157390,1911294,9320880,20214632,17858
9898226,9668205,14579193,10634302,3208760,28095880,4494310,5534834,1165856,1423632,8328835,17753371,15397
11657128,9045202,16444930,11135375,2977338,29851763,4780292,5665514,1719080,1978610,10234277,20824270,17942
11148191,14033154,16290567,12227017,3158412,28234777,4184919,5458346,1601894,2297275,9220377,19746383,17593
11072302,9501544,15579551,10967108,3396343,30464748,4764910,5573378,1165390,1410660,9236856,20869334,18092
11166535,9372983,16397590,11277465,3020518,28763470,4471202,5301855,1673433,1901080,9360199,18559151,17304
10673369,13780238,15428454,11874550,3165997,28561544,4666283,5673368,1544579,1962355,9026863,18289973,16551
11533084,9084966,16053128,10801524,3086734,29441823,4496675,5565676,1144184,1419898,9359826,21807120,17206
3383190,4269203,5076995,3862198,1358939,11546471,1790778,1918824,469166,564026,3192929,7252344,6835
3591297,633922,5945949,4139002,1822727,25915480,3578722,3756581,123682,178787,2766533,5683041,21099
31678159,6241034,43537438,24139171,14863918,70410267,16578150,20631499,1277340,2054658,33792584,98923351,177797
26563832,1284098,38669779,24629738,7397664,137195651,14333887,15726929,129490,474513,19278392,49475366,217439
27056467,2516499,39310406,23375869,10848496,110882109,19404812,20076009,324377,876824,24353878,61843761,163453
19321898,6353436,29327376,16139160,9599025,55054092,17402889,17259302,888912,1461075,20287649,48532176,70890
15044686,4395969,20103618,11626791,4035404,39849427,7522483,9733459,2194732,2410177,12762938,31578183,43107
14437999,6128569,21280483,12815906,7376230,47518800,12431992,13024570,1097772,1376804,14533210,34296367,49654
30211470,21213094,43951030,30280447,8461112,137492063,16807762,18040954,4548813,5548282,27195392,51274249,207605
24495885,13476161,36578144,25060559,7185687,121067218,14063224,14992247,2743299,3588077,21709184,43480570,182747
14801593,1610461,21176217,14000047,3602300,78317482,7225279,8171461,103006,600942,11099442,26895598,115135
14826041,1596008,21380889,14013571,3936463,77608315,7414193,7925499,92105,588922,11021799,27337867,111086
14478373,1565284,21137536,13926423,3812562,77376628,7380062,8100578,94191,584102,10538067,25244769,110871
14422838,1630648,20944916,13938610,3791147,78110880,7381548,8096876,126688,629542,11089016,25938385,112892
14641932,1449613,20899021,13797466,3710309,77890169,7427679,8353994,18203,509287,11130896,27396303,111342
14658197,1482106,21160941,13938640,3689758,78199022,6987900,7919606,22671,544652,11008185,26730635,113777
14692025,1496529,21217267,13978778,3816364,78524612,7422083,7934191,15969,534272,10750517,25902216,114423
14505522,1497972,21209451,14053356,3928949,78490361,7584650,8318266,20108,536889,10960179,25274589,113615
14589004,1463582,20881473,13711867,3578595,77864316,7402348,8128472,26122,529471,10977372,26649863,111689
14859489,1672296,21435029,14096074,3849836,78007127,6954512,7764618,94611,608840,11194053,27118864,114569
14694033,1698168,21177443,13985314,3790222,77560066,7354959,7876973,162501,654815,10870677,25977508,111269
14716970,1795807,21485352,14260692,3792777,78771514,7364712,8080765,166490,683160,10957933,25151921,117632
14824121,1586227,21169062,14059898,3676182,78733878,7562355,8274388,117415,593202,11306152,26565092,119320
14518107,1430771,20954512,13773031,3768973,76870973,6921135,7636479,37699,504572,10918665,26558343,110710
14607803,1577908,21121769,13908773,3789190,77568661,7381394,8089399,100201,567586,10497446,25694602,111626
14690140,1633947,21505028,14104546,3785793,78377414,7326790,8256586,139987,615361,11123289,25901763,111753
16857404,4629008,23210204,15140950,3869611,80810490,7963201,8866950,822407,1513746,13892513,29802350,124076
14843178,1589245,21430957,13922814,3794696,78072095,7156949,7867518,85451,578712,11250252,27192736,110862
14575685,1489503,21030572,13813408,3783781,77704985,7336017,8060334,36277,502712,10482253,25871498,108416
14456020,1618236,21373873,14096211,3795994,78750809,7372872,8095963,109029,595803,10844450,25113218,114875
14408397,1367906,20627534,13648739,3674475,78224278,7350493,8061844,4430,475731,10854419,26405561,111379
14734841,1446869,21261816,13953664,3688688,78391455,6965130,7889772,13043,491923,11026095,26725492,114364
14624899,1480641,21120176,13875150,3800235,78164478,7152783,7865619,22378,495556,10713669,26492688,112298
14545122,1448725,21439969,14021361,3914706,78590004,7562935,8288430,24415,501743,10759781,25246818,113045
14474165,1440219,20712225,13709870,3675919,77851078,7377314,8099569,14658,495014,10944025,26591248,111872
14783493,1466207,21343218,14047852,3674753,78981104,6939125,7868611,21408,506646,10977697,26586693,119219
14861688,1487810,21433639,14053357,3780540,78169054,7340777,8057006,40404,513421,11001448,27372294,115585
14676753,1667546,21430737,14193824,3796667,78799538,7358086,8077428,153624,642272,10663432,25120299,116875
14574022,1481565,21054475,13930710,3797759,78812526,7559260,8267954,38047,516389,11219228,26639608,117293
14639367,1454849,21128055,13863632,3676275,78159843,6941929,7882507,13388,503634,10979154,26630494,112226
14645561,1461804,21148016,13887585,3793568,78241482,7364799,7873299,19420,489893,10708785,26507159,111658
14507506,1454891,21170650,13895343,3790710,78380232,7347006,8072848,13790,498741,10491819,25181646,112880
15637757,3817332,22673628,15272076,4142882,82806976,8120831,8884034,473334,772779,10962280,26395955,117728
14946229,1793239,22227519,14891426,3855058,80951246,7548749,8496088,403370,898389,11980437,27231761,115587
14598837,1560359,21060195,13861926,3777960,77791961,7338931,7846166,72755,545672,10759867,26549793,111800
14507461,1471517,21223687,13963025,3812465,78525602,7378997,8087391,17652,497065,10509392,25164104,116370
14390346,1409309,20801729,13861509,3795535,78333803,7346471,8072839,18211,494815,10984067,25960387,116825
14579802,1375271,21024151,13710186,3555225,77509430,7142194,8083253,19174,479247,10893468,26580649,113420
14588095,1423376,21086832,13843295,3789292,77906701,7148729,7644538,21172,487618,10869283,26415857,113459
14662327,1443955,21343766,13937818,3897780,78417054,7538031,8261869,23119,499668,10607737,25277531,110481
14343418,1383742,20759548,13816564,3791914,78442559,7371783,8098647,18844,495103,10966147,25828555,113106
14727142,1431264,21236443,13831561,3572345,78086786,7169526,8089394,16587,486653,10973954,26701785,114612
14695423,1468917,21186456,13952245,3803949,78511685,7174107,7690644,20484,482227,11042160,26729689,112754
14716220,1403849,21275477,13835003,3797464,77608847,7582013,8322623,9570,466175,10667041,25809240,110841
14432133,1391661,20852125,13798066,3781224,78024475,7545185,8261283,9929,479293,11164379,25862419,113512
