cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
45065681,31325765,77506746,45671679,30045488,146362121,53225586,59054228,6878314,8226798,58975409,194253849
103200,49534,149142,85098,56955,331598,107747,0,0,20879,120488,296234
1677200,249373,2426710,1788651,378846,2808907,815822,947513,0,101437,1589750,3056152
40332913,83635817,58330028,44774387,7956817,65001386,13268249,16087843,10986266,11254174,36932538,62768438
28662549,24123447,43914763,31994651,9029995,76894919,16710648,19679138,2850611,3034238,24533529,43613421
23050945,2363996,33383589,24799292,6194053,47420294,11562980,12998413,437436,833363,17812883,37134451
22591118,2115960,32700672,24637338,5808574,44980211,11211023,12623276,282866,688778,18044273,36008317
22725882,2069171,32813385,24533627,5894690,45051576,11179954,12383875,279517,668910,17798822,35944110
22643237,2070790,32562715,24264781,6039217,44816374,11279636,12870571,257265,643180,17860526,37264730
22578129,2091171,32639573,24284314,5925038,45216958,11067787,12461543,270712,682089,17490001,36066326
22115762,2085218,32045765,23927108,5962360,44937090,11120176,12724366,281767,681835,17340292,36216318
22411525,1971580,32600206,24250463,5932858,45182156,11288027,12714205,227823,632938,17528954,36199855
22780355,2073672,33041629,24776236,5840465,44818289,11073342,12484162,291196,700470,18086248,36646216
22728946,2031052,32852385,24774271,5915229,44743990,11239406,12654540,257797,655089,17883852,35494983
22932843,2117208,33295756,24894034,6027069,44859762,11244707,12851775,279911,671711,18293509,36719149
22870314,1956020,33085448,24738410,5817375,44965918,11244993,12492940,207994,594469,18017365,36697374
22732578,1931579,32699346,24556587,5929007,44570964,11243381,12608491,201344,610143,17757443,36000894
22759691,1824742,32895103,24632719,5910221,44428024,11048396,12677146,180952,575186,17938610,36553420
22623340,1737123,32864965,24522202,5804505,44105334,11209800,12619645,142124,530124,17913268,36130387
23136055,1901077,33253354,24857137,6017734,44919257,11629475,12836396,178221,589982,18172904,37292602
23038157,1773559,33124609,24756348,6023669,44674687,11083702,12874208,151732,552005,17971711,37443274
22787891,1730724,33151571,24806686,5857064,44702207,11310859,12752725,134396,537268,18072248,36304967
22635024,1698882,32930459,24663455,5935724,44670567,11261106,12477331,121637,523989,17737300,36079342
22803341,1715368,32756512,24553190,5948266,44714276,11102992,12605682,128819,524865,18005396,36830946
22775583,1685163,32957358,24589883,5905984,44870470,11411400,12802424,132137,518815,17889291,36617215
22856869,1751874,33214772,24873339,5957557,44858524,11329493,12555614,136400,545834,17858757,36298230
22935711,1739073,32987615,24816951,5944709,44797558,11091577,12497927,144873,542555,18060129,36828969
22695053,1741954,32827212,24669613,5937207,44623863,11264649,12669983,137596,533855,17842051,36187632
22841920,1767286,33052277,24724918,5814290,44424021,11250797,12644813,130978,535024,17927472,36677925
22604655,1739535,32823715,24519797,5824358,44462134,11261647,12682217,134760,538358,17738927,35992014
22764760,1726221,32926742,24727290,6032944,44964710,11256995,12658309,129138,523277,17940036,36595975
22830351,1707782,32954793,24694378,5825686,44553602,11267435,12691083,129009,524271,17934828,36733993
22560872,1629349,32844645,24522845,5850947,44398942,11289049,12697789,102804,490035,17709615,36066992
22893685,1622715,33044712,24689309,5971581,44989864,11147715,12549698,115111,499605,17770917,36312831
22703751,1747670,32773769,24630411,5934035,44184583,11105195,12702111,162453,555051,18038955,36205563
22742744,1647912,33062172,24583988,5928563,44554133,11475703,12882574,93651,498638,18093027,36801674
22975149,1671382,33194422,24784265,6027809,44759248,11264293,12680789,96691,492861,17867541,36735384
17526180,1171129,24874107,16814434,4519401,59799942,8532798,9452727,125686,403703,13126542,32290591
736582,409625,1064548,664795,358576,2815335,721939,543027,103986,149779,746671,1939297
910268,620296,974740,656971,296265,2600583,412613,433205,191465,217579,945118,2154147
710975,290665,959566,706124,301993,2266758,786592,813486,84657,90315,754130,1994772
8703281,1503129,12369838,7776646,4020285,33888386,4618157,5356224,207964,529366,7074638,18797590
11154644,11232430,17003079,11968394,3018632,30488560,4678419,5614816,1457220,1713864,9410890,19814834
11468452,11931022,15629501,11108936,3221026,28730071,4445800,5558535,1904384,2138400,9264840,20377954
11226093,8217595,16913540,11670722,3144355,30787182,4824514,5705054,979452,1245501,9849362,20876054
10599689,11980390,15122698,10701327,2971124,29801571,4480167,5563745,1451679,1752222,8394053,18240995
10428319,8602034,15662090,11564963,3285596,28412894,4565948,5509215,1047072,1287696,9076236,18659684
12291802,15905055,17286458,11604228,3217013,30908592,4492982,5772529,1444750,2013283,9529207,20766623
10557007,11901050,15651269,11333804,3069419,29320864,4549012,5483508,1532700,1698320,9313014,19758190
10813646,11793152,15963505,10961468,3309737,29826971,4333460,5523095,1444522,1682568,8542617,19580739
3463888,3727394,5111166,3303603,915094,8845709,1561725,1907529,86575,180201,2753092,6288356
9087189,1205132,12942081,7074575,2488187,31206132,6337659,7157073,156281,335499,8440061,24450303
27805285,5355662,38753055,21958661,12587742,73669082,17510045,22201594,1239429,1992730,29405330,82209142
26488318,1277162,38360061,24442404,7222460,136065562,13951496,15326848,133682,467582,19483788,50864578
25854952,2582874,37675814,22800802,9940826,104991125,18134231,19970246,365784,784918,23996616,60298417
19415387,6382974,29400762,15681128,9287377,55851720,17398121,19197831,914683,1299794,18732351,48939724
13198199,13813421,19417664,13312372,4791251,38043092,7574236,9127717,2106708,2363665,10941174,23364220
16386924,7762523,23830576,14691421,8011658,53297761,13669704,13989318,1369657,1807751,17181451,39975485
31410737,21869129,45390925,31019607,8593973,139276013,17025555,18276047,4766238,5835209,28525184,54938883
23738430,12138670,34533133,23373366,6418473,113130594,12986183,14013603,2535629,3206074,19856539,41440027
14443466,1395659,21099048,13796811,3789651,77026963,7386799,8095431,65547,479051,10620042,25980224
14737156,1364949,21126766,13939007,3787444,78152291,7173685,7898990,72071,490838,10860365,26545583
