cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
44698593,30815782,76723863,44933999,30030626,146683368,53053071,58810467,6565619,7823018,58527966,193049437
107680,58736,156048,89873,58206,330195,110430,0,0,24156,127563,308090
1582720,185865,2290031,1655168,374817,2732089,810638,888941,0,74793,1482781,3034452
39925578,81432490,57768905,44841330,7420043,64501151,13502878,17065047,10529894,11008918,36221254,64488145
29461249,25143670,45579910,32777076,9797337,76887519,16584953,19018723,2513028,3575786,22545998,46128936
23690031,2684172,34287287,25475592,6290827,47552314,11809229,13239476,459754,788486,18131981,39101448
22720209,1992147,33086966,24823610,5793340,45071329,11180638,12580948,245665,618244,17905249,35757696
22920657,1999045,33109704,24846901,5905358,45241462,11022104,12432446,253670,592015,17763787,36651563
22876678,1987588,33150783,24964367,5837357,45207390,11322813,12718462,257544,612092,18058914,36043538
22851265,1901980,33187577,24814387,5894973,45268391,11389804,12782595,195023,550923,17852651,36401299
22941748,1917666,33202196,24934317,5908195,45039956,11052438,12476528,224296,579448,17819620,36022236
23036171,1842214,33332410,25206850,5947155,45155449,11104820,12710378,199026,570753,18108441,36235510
23067493,1846548,33496904,25144837,5956601,45356667,11310794,12735613,181711,560366,18040143,36391850
22999935,1760049,33218539,24861421,5822146,45186082,11083405,12473331,146526,517450,18068048,36721260
22941406,1613797,33145328,24906989,6046144,45133490,11292005,12913476,115339,475562,17945237,36168840
22885514,1618582,33257837,24958600,5946391,45122147,11279515,12710052,111904,471162,17962805,36164887
23075321,1608036,33455609,25076773,5854291,45532838,11339028,12541340,126237,485121,17961999,36767604
23006750,1580076,33021786,24861249,5914914,44891728,11227932,12658309,100976,448076,17651028,36169192
23025606,1573572,33283197,24958974,5930389,44896602,11070568,12687234,98408,444495,17780386,36858542
23173062,1690650,33625977,25043512,6030257,45809336,11648146,12861455,97862,456473,18312762,37364118
23204801,1787754,33407157,25101455,6049796,45433407,11482052,12893646,178448,546528,17756564,36166735
23024292,1626972,33271457,24971418,5943348,44956846,11095183,12684984,108733,448301,17694664,36869272
22803571,1596450,33121445,24825412,5815652,44182538,11240388,12652755,120558,453262,17855330,36179248
22782205,1594657,33198929,24894515,5945887,44559868,11289896,12520413,110682,454604,17697505,36151214
23076459,1706594,33194562,24875187,6037776,44643907,11259872,12674526,130999,470287,17925256,37465101
22883067,1698342,33270176,25015780,5846621,44391253,11335340,12758725,149097,489487,18014380,36312053
22823917,1668659,33262623,24888295,5942024,44613133,11287124,12502759,137499,479690,17722684,36277291
22924999,1611311,32983179,24756053,5930225,44553562,11070078,12488564,116375,461370,17885240,36782975
22720846,1660907,32880672,24829556,5905011,44354609,11251069,12648200,123120,485831,17656772,36092695
23037756,1669440,33294945,24948427,5868095,44462395,11349649,12755278,113995,462019,17964651,37044018
22955786,1614210,33382351,24882955,5952367,44921031,11281135,12683083,109590,465541,17896759,36888587
22741993,1612899,32941003,24820846,5942878,44724834,11293983,12697677,111188,468800,17698537,36152832
22948536,1622006,33262441,24966074,5858509,44480348,11309831,12739860,104817,459593,17903312,36895902
22774143,1625963,33081793,24691532,5832055,44418906,11303628,12703019,118022,471356,17662961,36301118
22988056,1616350,33258938,24929188,5953996,44617640,11095251,12525112,117482,461537,17752330,36405473
22943616,1620180,33200474,24894675,6038940,44483124,11290219,12884252,103688,454409,18091778,36931466
22806068,1607760,33238835,24980348,5947784,44735873,11470195,12897888,118760,470311,18086579,36244572
15565878,1126339,23868881,16547734,4619224,62447458,8313187,9127537,120283,388897,12227919,27445253
925992,484452,1015509,669408,374963,3041537,524367,475966,100411,115767,906736,2617331
665565,566988,955372,810658,325111,3354842,631035,656150,183386,169501,549616,1256241
700784,381468,1219316,709779,303134,2350906,784359,811811,65981,89804,745594,1975092
8771358,1605121,13186805,8099222,3970691,36070147,4890073,5342895,207595,534428,7245471,19251066
11769621,11736503,16490624,11065587,3265521,30200431,4625290,5706944,1908321,2196314,9465960,19954716
10838198,7335191,16424516,11318524,3100583,30339929,4743720,5747203,1088282,1360877,8964350,19683416
10600199,6377959,15043829,11018388,3170613,28185300,4503635,5619241,1180208,1446217,8661609,19817140
11626416,11711174,17089286,11351721,3134362,29718991,4426312,5268780,1514009,2216509,9937846,20238752
10691163,12530665,15676557,11746310,3193786,28629025,4660244,5999653,1923560,1716912,8877513,19119751
11240281,8756977,16399430,10699753,3225480,30928552,4844639,5697806,1048434,1759945,9694261,20219414
11252588,12589194,16293780,11666504,3004562,28405143,4258128,5227013,1482105,1694608,9650639,20269401
10761122,14993121,15580694,10721037,3094352,28150242,4505100,5567022,1431921,2133189,8578209,18893048
2682592,452133,3722507,2457025,1047912,9096550,1524878,1506163,60883,159603,2290409,5667730
11477299,1440098,16105672,9306764,5190360,40810456,7894220,6616919,203875,359443,9718204,31407619
27381023,5886980,39180094,22142002,13754326,88155612,23034390,21381643,916116,1267547,23687250,77350884
26302126,1164313,38041018,24136480,7207536,135494273,14133847,15501768,97264,436365,19346784,49747990
25685933,2641111,36665083,21906962,10007526,99072488,18310124,20403416,336622,830907,22986862,60293619
18094524,6222674,28635880,16816610,9689797,56494296,16794635,18113098,930760,1364467,20284916,45187698
11275356,13522216,18861122,12732601,4371216,39001507,7140875,8277005,1968861,2380466,11729558,24639579
16466805,7713669,25597621,15956895,7876880,59073980,15456658,15765261,1635225,2021845,17642291,39303193
30915475,21666128,45159382,31047544,8705772,139950306,17526925,18742131,4611981,5576262,28123755,54100258
22975763,10845720,32965287,21598082,6153416,106194816,12061850,13066853,2044009,2691637,18846474,41880081
14347514,1305037,20777829,13604746,3695037,76826233,7399859,8122133,39761,428004,10761635,26009937
14460492,1269744,21136469,13756287,3796067,77727023,7389837,8117636,28323,418862,10560345,26016292
14822513,1508063,21220263,13872432,3875912,77096027,7343489,8071232,155170,535743,10845530,27132278
14342279,1351276,20787994,13668640,3677033,76301433,7351431,8081280,82314,469632,10778644,25869218
14657195,1530072,21193638,13866356,3891272,77149764,7556942,8284966,172613,558724,10937039,26566378
14454563,1295374,20935533,13552747,3668852,76423735,7155066,7870502,54443,434832,10691501,26513645
14378805,1403851,20766619,13648432,3766933,76407520,7343507,8074373,96244,490848,10588220,25231986
14527364,1400879,21167507,13774642,3877523,76719383,7329458,8252894,96487,485032,10847723,26481824
14502785,1418588,21011213,13613085,3657963,76395825,7132566,7858746,112328,495810,10771985,26409839
14191948,1257938,20728528,13516560,3875595,76121031,7529521,8266910,20241,399979,10422057,25236614
14464146,1441536,20926041,13601259,3786368,76498159,7191945,8106899,96290,478273,10778050,26525921
14377705,1235699,20958675,13532046,3686961,77059579,7386982,8106519,15638,399045,10732929,26027037
14636709,1253505,20933888,13621569,3891480,77267515,7550955,8088834,17498,405577,10755126,26527392
14550462,1256889,21051156,13723062,3767090,77381007,7147201,8056592,22938,407920,10615048,26524053
14375553,1343138,21030559,13608761,3673395,76953227,7376444,8099527,62035,451507,10786028,25919828
14720275,1414459,21247402,13780403,3899103,77319181,7567865,8088620,95952,487603,10821508,26584008
16191427,4692358,23699303,15795122,4265611,82959558,8171627,8942673,603810,1013219,11957152,28679708
14289803,1376026,20883799,13605330,3777635,76429120,7354394,8071912,84000,469626,10517303,25820202
14421404,1344721,21088337,13672243,3787672,76734457,7565213,8090596,36003,425711,10637852,26432752
14505497,1434976,20826529,13660735,3762856,76360978,7146728,7905131,130898,511926,10712860,26367342
14439673,1526006,21093545,13796986,3782543,76817521,7352313,8071216,140892,538829,10586663,25864864
14395212,1391201,20816396,13565205,3651342,75759907,7308537,7833901,97693,485374,10667300,26366604
14296432,1405278,20720322,13521882,3789920,76201321,7372189,8100694,86464,481131,10507004,25915371
14487543,1519944,20943808,13726148,3860445,76113678,7309124,8033419,162748,543756,10796142,26436981
