cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
48244120,33158489,76984487,46106498,30263478,140598336,56235456,61703407,6904494,7844094,58017317,184509098
100160,51549,144934,82374,56138,306794,0,0,19241,21778,119021,293978
1713360,218848,2479271,1839067,378796,2811196,801069,0,77868,89964,1634804,3063448
40743128,82985778,58974488,46053859,7465112,64308070,13409372,16976637,11172328,12028968,37161699,61976483
29353335,24664267,46064814,33589369,9794680,76665288,16607984,19010744,2353014,3436968,22811360,44899416
23621570,2425804,34210736,25468981,6226302,48678699,11692024,13101211,355535,694031,18232584,38779309
22876292,1793934,33277889,24981016,5783613,46169313,11162944,12577457,207090,556331,17867334,35833553
22787978,1676623,33019379,24865079,5889009,45103104,10973118,12381111,159535,481299,17578280,36442060
22817445,1659023,33072619,24884261,5901967,45486912,11410431,12813292,125192,474935,18058432,36463875
22839757,1674888,33217117,24916757,5804929,46119923,11211852,12609124,132681,490860,17738301,35976425
22952480,1668410,33140145,24893414,5896095,45561573,11028180,12435596,131680,487768,17673740,36535381
22791575,1537847,32958894,24929093,5801978,45346726,11213357,12604420,120247,460140,17843591,35966390
22847498,1644757,33283293,25015566,5919921,45541837,11260149,12639047,125576,475460,17658750,36006362
22803899,1571996,33001727,24707583,5799250,45457911,11015863,12382539,112024,463428,17753254,36408930
22871748,1559087,33043133,24842215,6009011,45248713,11222175,12828832,101470,446641,17798209,36017888
22653416,1552885,32925864,24690777,5884444,45556750,11184487,12591290,101171,446982,17805538,35918660
23090538,1586272,33413414,25093920,5806469,45648651,11055896,12468707,107726,455007,17851855,36678267
22809585,1575497,33006607,24988776,5889015,45192329,11184126,12591853,112241,457761,17628817,35349301
22901396,1572131,33138536,24917812,5913680,45275706,11024678,12637087,105055,455996,17852634,36569166
22997584,1626991,33397011,24894972,6007884,45756874,11581544,12797495,138565,441402,17935812,37239191
23113954,1540472,33255022,25018150,6000725,45542717,11422445,12834244,91483,434195,17590871,36014187
22928309,1541698,33136682,24914784,5905154,44907049,11042433,12632750,104416,447525,17578593,36473270
22859494,1527721,33213668,24927673,5794702,45070304,11190195,12597881,114440,458308,17766090,36010250
22964023,1498347,33185759,24905436,5939347,44935345,11301572,12509298,87144,425025,17668740,36118698
23109078,1500947,33144621,24822872,6008978,44997220,11244288,12845511,87828,436437,17826692,37382423
22796299,1474179,33119601,24895712,5794516,45057079,11194380,12614693,92351,435224,17848556,36023487
22827231,1475454,33184287,24941220,5912266,45480636,11239238,12457710,80881,426576,17641471,36090963
22857782,1492519,32861466,24782549,5902107,45226927,11035461,12448321,78481,427378,17785004,36488065
22734093,1494646,32918272,24818576,5881930,45290364,11173484,12574640,80934,427578,17597837,35931967
22942220,1671811,33127233,24851564,5806716,45007819,11207542,12473041,144721,497526,17821941,36644343
23111973,1521376,33349521,25111388,6030135,45671900,11258893,12672573,93866,451218,17912205,36699865
23020465,1524120,33314970,25230046,5925749,45576908,11273537,12696657,89850,446496,17708555,36167147
23007589,1456564,33226907,24986546,5818565,45277935,11233431,12634374,79820,427932,17859668,36709627
22828984,1492995,33174686,24968356,5814586,45437792,11220720,12643998,92805,434795,17536926,35925595
23026018,1529781,33304456,24997836,5944591,45246051,11100821,12511737,89792,430469,17766749,36373007
22961681,1452853,33200370,25041554,5929334,45171999,11441619,12859073,69524,424605,17973632,36664663
22828237,1480039,33227322,25005391,5911627,45711531,11458964,12846416,88348,438990,17808413,36041319
19609232,1101127,27849412,19334603,5171581,64864519,9785059,10896005,105581,439731,15190489,35321384
747984,446055,1011332,657319,321243,2384503,488004,746769,121247,152361,1001190,1940654
720141,709468,1241130,803111,300712,2648088,625305,441184,171866,219496,683185,1471876
919761,335458,974189,586135,411103,2804633,584148,605600,104530,102442,770980,2665419
7956314,1334250,11327765,6971184,3356005,27857563,4111458,4641384,228055,500925,6519077,17701463
11212060,16224175,16447630,11183966,3423999,33246517,4948382,5630678,1436510,1786666,9130015,19398478
10772027,8716396,16548570,11719797,3263599,29432875,4605443,5601622,1523718,1323465,9196406,20528297
11900996,12369847,15622405,10576752,3097505,28776745,4359712,5465846,1962639,2185026,9259881,20069730
10968558,12488073,16600534,11539543,3000985,29658533,4808534,5750144,1490496,1268325,9145333,19519902
11217522,8805638,16111208,11318878,3398318,31617297,4684082,5769190,1546667,1811385,9185844,20828628
11114280,12340538,16841014,11391252,3068080,28994661,4533077,5450084,1482712,1706788,9666533,19390130
10850314,8612996,14548552,10237650,3065948,27001599,4424017,5503749,1010584,1689286,8473562,19408664
11082385,12484832,16675498,11951145,3024386,29969185,4805114,5875104,1909509,1761307,9041507,20434449
3599326,3948165,5474802,4006499,1258057,11336116,1790923,1999707,508962,596653,3358164,6663509
4915707,703336,7005180,4349415,1589372,18323126,2495979,2679527,102721,215217,3344947,10063585
31128336,5734099,38497943,18936025,11888330,80174244,24766424,28365900,1194805,1831491,31687887,94380723
26413976,1273032,38292180,24137001,7259389,136716567,14169770,15537235,133708,547517,19281032,49989162
27875048,2566267,39758707,23467564,10006558,111092351,18947281,20695347,339016,849190,24687005,64433501
20389627,6268293,29394926,15670727,9255373,57318228,18556593,19416787,865099,1282355,19016320,49754491
14704606,13734426,21497524,14467900,5067378,40849041,8299086,9553513,2079826,1239215,11291126,26600945
13309049,5245387,19807431,9928297,6450737,41148756,10985275,10861540,1088599,1399817,14686667,30056042
29701797,18731591,42988099,25771478,8002449,131909270,16163940,17318652,4295581,5290262,26892304,49881867
26444650,13856031,38773699,25252740,7351631,121134311,14341896,15370015,3030369,3837010,22653491,46259129
14500916,1344839,20786085,13559162,3768750,76852484,7139023,7830307,96970,519465,10761293,26433295
14255007,1221992,20657524,13554415,3763908,76959719,7331130,8023543,38057,461887,10457107,25722116
14339043,1250752,20975107,13594767,3764500,76877668,7499589,8203435,22282,454459,10626869,26234921
14446087,1232676,20916222,13525068,3664416,77475547,7148051,7833014,10320,452178,10703915,26377701
14420984,1250493,20850902,13632381,3861772,77230730,7324225,8208249,23022,453540,10666961,25655182
14415414,1226730,20815390,13518590,3741816,76800337,7151505,7992185,34435,468938,10653986,26346280
14419526,1401394,21077019,13623381,3656829,77750738,7320172,8015432,99245,544339,10649204,25734157
14528267,1266197,21094268,13694454,3869507,77472677,7288305,8200293,29858,466162,10723241,26326241
14554057,1254946,20961642,13654807,3679636,77704358,7325102,7840508,19261,471197,10767550,26437785
14378408,1219861,20727550,13631564,3878441,77778091,7487915,8216155,38191,473293,10720165,25757002
14545037,1184480,20909555,13636110,3777966,77544885,7118976,7842493,16711,437644,10495739,26418719
14284058,1226583,20604160,13493464,3666946,76872825,7304354,8021209,25810,453449,10655367,25709639
14403708,1185119,20753350,13504005,3871432,76965650,7493800,8020493,26074,443111,10606785,26322821
14503695,1259060,20891784,13620039,3772356,77147564,7105936,7821648,32316,456064,10458820,26383389
14196633,1237928,20468879,13464650,3664667,76382219,7283537,7996228,29545,457598,10598923,25607168
14364810,1255921,20876240,13541494,3774461,76328207,7477018,8200575,16728,454688,10606920,26368471
15341178,2918678,22878735,15270678,4113680,83476580,8114885,8881058,922088,1410563,12145711,27101778
14290272,1211412,20625538,13550952,3770387,76883742,7292663,8018797,18391,448584,10409638,25075847
14421048,1274605,20941229,13604091,3763563,76789925,7470598,8193141,29368,464989,10625655,26281725
14383844,1246725,20551352,13462432,3772151,76503012,7109036,8049997,20771,449651,10635788,26298270
14315132,1214443,20870245,13680415,3766536,77237624,7284324,8023596,23070,453238,10506298,25692961
14453874,1289831,20829065,13627231,3657050,76767241,7274219,7814217,17921,448048,10635954,26330200
14411611,1182605,20809557,13668619,3775825,77921834,7324447,8065718,18855,433840,10463242,25739888
14502732,1250377,21043975,13758193,3869870,77582355,7301704,8038486,19139,445558,10656767,26415768
14446370,1249437,20827137,13633750,3657411,76892888,7296769,7820539,27617,463768,10718888,26304009
14179359,1205943,20478698,13402338,3763735,76278173,7287271,8052421,13734,439510,10417058,25685433
14533942,1220802,20943687,13655415,3764688,76788165,7280132,8021919,15862,435507,10624567,26850418
14248511,1242707,20554319,13549646,3661530,76456400,7299958,8035650,17162,458077,10656969,25714658
14374087,1285304,20919877,13545508,3758188,76755117,7482134,8216870,31352,463927,10642759,26237347
14535896,1318341,20977737,13721903,3768534,77466563,7118524,7847044,61709,481505,10553221,25931745
14348275,1383950,21025415,13641939,3647165,77104109,7304957,8029067,96003,531454,10794449,25682092
14497151,1363859,21009110,13698412,3760189,77207737,7307203,7823147,95428,533535,10584114,25724193
15269290,2705511,22560683,14974545,4141835,82922502,8136669,9097870,881921,1373496,12727511,27626054
14388164,1377535,21018697,13686436,3754628,76200651,7522775,8245537,108948,537738,10763596,26335484
14220560,1315902,20832271,13545259,3763642,76462580,7329714,7864270,78217,499418,10522226,25727934
14302969,1265142,20590583,13436579,3743687,76192383,7128901,7867903,56193,478623,10658964,26232952
14281289,1407067,20910485,13621213,3761893,76338412,7324756,8042279,119965,544467,10577513,25765306
14405494,1334752,20919831,13612032,3661120,76276839,7330226,7859129,81203,503438,10755694,26397046
14376878,1383328,20845281,13654739,3755881,77160269,7322654,8046907,118122,540403,10626419,25731287
14537043,1399924,21015787,13781574,3859649,77204128,7327689,8037406,110266,543347,10841402,26446579
14552629,1356675,21092630,13785712,3662944,77147884,7319792,8056695,105897,526175,10802693,26362264
14229551,1165417,20855079,13531695,3647916,76913415,7305328,8020252,14389,430855,10448870,25633958
14314613,1231242,20755172,13512868,3744895,76708000,7101666,7807768,15028,445417,10444699,26059373
14428653,1224886,20897190,13664588,3760764,76770570,7503550,8242872,14814,446443,10898040,26393748
14384319,1256633,21059034,13626748,3769188,77106896,7528915,8244352,22555,454806,10703103,26328353
14496726,1234326,21030158,13647683,3853053,76819802,7112304,7828262,31807,451645,10669264,26303991
14259430,1239795,20666852,13583249,3752534,76646501,7117952,8019516,29833,471889,10720700,25688841
14354952,1234052,21007174,13694454,3766888,77342398,7331912,8055456,14800,454431,10770242,25811990
14370364,1213598,20833963,13486579,3657921,76835437,7144050,7860385,15735,443742,10690239,26333446
16651092,3733174,23068368,14878395,4159287,81410605,8009801,9120631,872085,1382426,13239421,29262296
14338372,1375737,20987984,13713387,3760682,77041647,7311041,8032525,82245,534369,10806403,25708127
14497832,1312263,20975321,13623292,3657851,77226693,7307578,7840238,71238,503988,10772693,26348947
14382383,1230024,20632070,13482202,3734579,76905582,7297318,8003049,20936,460981,10483455,25595873
14444845,1283238,20947992,13665693,3766441,77080317,7125870,8049996,20380,467604,10536131,26348728
14212515,1242832,20838404,13508903,3666887,76872454,7339026,8051861,19517,454310,10659419,25661854
14544157,1219232,20865396,13577765,3873295,77155543,7542104,8070141,29699,465093,10730822,26432475
14466142,1416710,20995920,13700786,3768414,76998942,7158539,8062433,103165,541544,10605181,26384315
14273960,1271815,20917831,13616575,3656795,76919486,7329398,8050996,18761,472923,10726792,25764304
14209300,1237419,20825687,13572754,3767517,76912922,7320865,7850674,16186,455095,10469386,25673591
14417510,1247712,20925217,13588947,3859319,77088008,7312419,8032246,25376,462228,10897551,26363689
14445028,1239531,21007360,13727137,3758451,77134117,7499607,8235341,14382,460273,10705686,26374453
14376350,1279371,21051539,13719276,3767346,77412246,7320434,7859630,17774,470802,10535835,25822365
14374932,1220970,20645456,13473617,3755826,76835976,7124205,7840914,29062,461795,10705702,26331578
14217944,1270074,20603337,13529224,3760472,76667592,7326889,8047547,23602,458107,10473924,25771212
14443398,1245667,20908004,13600175,3654188,76947889,7324063,8038506,19805,460327,10714563,26343980
15683098,3011394,22704971,14791928,4004218,78821780,7408686,8368063,444424,938841,12088038,28484071
15289451,2905021,22049385,14687972,3958329,80034629,7736325,8358547,214564,631179,11212110,26539440
14471890,1381664,20997362,13689253,3653888,76830530,7321069,8036626,102342,550340,10775587,26302249
14376684,1402939,21034472,13630303,3666563,76869710,7334808,8057171,109428,543462,10612482,25836020
14557017,1405840,21137882,13798734,3763888,77368396,7140177,7849619,105625,547663,10668151,25754149
14261398,1213090,20746540,13624868,3769431,76872297,7134270,8050434,21935,458479,10696867,25697115
14374985,1199102,21032453,13562231,3767991,76860928,7522999,8253941,16185,448635,10909408,26409785
14490266,1220052,21034601,13691707,3777288,77581129,7361427,7887828,23108,457945,10535393,25801253
14306719,1256594,20741284,13634259,3754213,77094783,7095890,8019096,16724,460900,10716104,25797431
14255623,1244849,20918957,13611754,3756926,76899623,7308690,8044517,17078,453425,10676292,25640342
14387744,1221058,20854011,13513127,3646756,76877654,7311976,7843604,20678,459545,10704080,26312471
14651558,1235518,21055409,13674253,3862595,76978846,7501622,8417014,30571,476570,10891884,26886735
14310967,1204341,20977076,13669376,3768238,77320799,7332184,8058902,17488,447755,10520682,25770594
14453815,1258223,20947607,13619524,3659041,77059196,7343344,7873469,17887,455766,10723094,26423774
14405895,1239055,20736482,13552539,3744597,77113950,7311962,8032123,25397,471315,10524511,25687840
14410184,1245202,20902960,13581106,3749891,76807480,7120146,8027016,25304,464048,10509079,26343642
14554230,1387424,21276276,13852767,3764998,77465418,7528106,8069355,82413,525087,11076835,26412223
19906576,6499877,28570945,17969566,7380871,81305676,13375969,14270977,1283910,1740778,18670857,44350114
23532425,6851539,33807302,18263274,13551268,49588282,22827139,24100984,922432,1374429,27424230,69040675
23664109,7096818,34120347,18210983,13474543,49736340,23205798,24621837,861655,1318177,27334835,69650221
23405129,7008735,34051400,18257185,13778412,50733060,23347263,24766057,855953,1301607,27115348,68596416
23481964,7080969,33925256,18144887,13551253,50462003,23446158,24840304,935315,1381900,27343220,69037885
23890772,6528259,34689192,18737002,13887852,51192562,23834871,25154431,873573,1340197,27980363,69724555
23807510,7796449,34651662,18373378,14029925,51571225,24063774,25267351,918259,1354451,27260089,70265590
23669675,7119257,34404432,18563478,13979922,51145188,23758081,25070172,870185,1316040,27466840,69481225
23630557,6610722,34722216,18559432,13594645,50135920,23646549,24697330,837904,1298699,27485251,69592740
1044392,454356,1099243,733745,368236,3989940,679910,709701,164140,198492,773494,1742628
16086126,4912546,23390436,12634152,9572100,37602256,17022257,17862854,736735,1098352,20252753,47832857
24168966,6687287,34795215,18526403,13944245,51310212,24037532,25167318,815078,1284125,28076027,71192897
