cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any
48717600,33165808,76927578,46049183,30231074,140261055,56165382,61620658,6941107,7923526,58208354,184661339
104320,56201,151159,87637,56558,324031,0,0,19627,22167,121259,299203
1670560,208266,2416884,1779952,376475,2731865,797768,0,59375,81755,1580033,3045088
39913871,83388567,57877870,45237551,7296331,63476682,14359911,17239221,10496660,11322696,36293871,62922147
30391489,25236423,49020286,34122080,9871393,76221476,16180375,18838267,2826095,3475541,21855597,48509553
23812120,2754063,34380432,25809146,6153777,47935904,11714079,12937844,405016,806075,18723752,38608490
23000341,1869830,33095812,25016409,5884002,45382918,11178339,12568769,166437,568532,17541225,35768448
23018717,1875762,33254394,25002502,5792941,45115731,11192485,12587373,157097,559353,17860673,36559588
23110387,1874785,33650092,25215961,5906785,45956463,11251579,12646103,152826,546032,17902019,36545447
22608380,1807476,32820796,24868084,5852590,44913054,11091156,12478041,135235,517813,17482335,34881757
23021088,1792114,33271016,25086426,5820484,45183240,11014874,12516892,124167,506924,17821171,36354754
22875654,1726441,33337768,25074549,5766011,45541047,11164671,12571477,120139,499668,17644658,35732308
23045680,1763112,33413977,25185852,5891055,45339002,11018939,12402009,112071,499999,17633727,35881554
22916323,1712434,33102507,25054574,5873924,45062743,10973497,12577836,108121,493806,17803485,35722598
23136968,1715529,33585502,25162197,5877164,45695144,11357468,12753425,111156,488473,18095862,36541371
23240290,1723198,33510623,25250779,5907661,45543291,11230895,12446928,101661,484011,17706678,36066046
23267743,1752029,33504928,25311583,5909694,45557657,11052590,12646916,103692,488681,18000175,36583051
23114173,1712592,33643731,25353248,5921795,45574692,11233372,12646617,107153,487397,17940843,36005020
23125794,1679265,33504236,25161842,5804234,45713662,11190933,12419228,102332,488303,17928104,36511987
23285659,1776836,33446822,25174292,6080490,45407476,11303615,12915757,99116,477080,18030408,36927785
22945551,1658854,33440024,25176558,5906432,45201022,11203644,12619744,93075,465854,17639574,35867251
23255655,1631200,33719044,25372253,5831897,45829143,11252315,12469817,79354,468298,17964919,36740192
22879879,1654421,33143281,25006655,5897870,45528857,11239495,12630212,98283,481379,17589272,35809127
22996128,1579931,33247201,24974584,5857935,44542175,10957274,12558083,74603,444549,17515932,36436011
23268061,1629261,33787512,25395742,5940397,45757074,11449812,12680970,73347,460860,18134691,36734917
22802998,1612898,33037770,24956224,5897838,45079571,11224148,12608324,86960,459312,17522130,35772049
22846603,1604956,33086194,25026032,5867053,44928881,10928530,12347237,79350,454295,17535811,36297481
22931010,1605735,33239742,25181699,5794599,45256647,11225789,12608093,76557,459458,17841969,35888160
23041645,1654028,33550353,25271175,5907795,45693748,11231120,12632103,81041,473374,17716381,36000014
23244940,1671558,33441827,25261679,5920998,45798853,11075944,12476027,81352,476206,17964255,36770573
23233353,1808996,33617782,25354747,5923938,45342705,11445455,12886028,161149,540558,17979370,36721513
23004859,1604957,33456805,25197066,5896644,45696396,11224256,12638385,81403,457200,17742818,36041349
23019436,1676562,33387219,25059456,5777582,45634643,10988267,12373293,112090,493379,17903353,36436343
23042244,1621271,33363630,25228618,5905986,45464939,11218558,12637657,84190,460770,17669348,35417272
22917935,1587974,33199376,25087421,5883809,44762020,10994031,12573489,89281,469096,17700277,36330981
23267803,1614994,33848530,25318352,5936002,45927032,11288046,12711443,69234,463799,18083846,36934465
22990030,1674943,33456089,25314563,6013402,45465930,11424092,12821556,96914,493425,17953322,35337834
20369336,1523436,30738113,21975616,5851016,71280783,10679071,11966636,123969,486095,15963968,34872469
739551,435030,1273709,661469,268846,3033218,737661,656453,54071,116826,994564,1934258
914304,703402,1240143,817152,325705,3314585,428373,446136,154542,141168,605394,2193600
670888,299225,921628,692941,285430,2285023,760809,752334,58166,107642,959122,1880222
6074878,1210285,8633627,5445310,2833460,22840639,3217141,3549268,147651,350401,4677819,13273765
11589614,8857775,17179329,12379951,4013245,36798728,5668559,6819974,1520321,1807016,9478391,22454029
11619113,12508400,16089019,11256362,3043516,29221332,4498016,5395086,1462648,2169739,9362859,20413783
9961701,8632707,14811991,10831446,3056331,27682033,4626348,5692119,1042495,1197319,8729291,18338876
11731278,12495475,16857678,11259639,3147008,31242804,4567475,5458537,1486113,2210158,9781356,20908419
11308338,12516867,16302656,11802779,3331328,29013843,4559191,5771492,1930909,1723261,9146171,19222352
10650419,12543259,16432403,11483791,3173923,30211932,4666692,5605120,1024681,1282153,8563570,19166586
11524590,12549061,15783843,10984013,2950023,28973545,4156094,5247710,1934668,2201577,9535992,20572404
10683242,12436554,16178429,11433813,3112554,29714183,4755812,5710274,1476365,1368039,8898127,18150428
5593861,749046,7936595,5476553,1856086,15443035,2425558,3250866,478149,620473,4643926,10494128
747764,278296,1257427,588139,325056,2812787,836298,654491,56614,105210,1022442,2073112
23526603,4361075,37903662,23740227,17003682,96917781,27754584,28297770,1207164,1778450,30859648,61692696
24066914,1425527,34759942,21867380,6763011,118986688,13481542,14894010,163091,502070,18259322,46144906
27374454,1814816,38765343,23636517,9217480,119178587,17746493,19636084,294567,717479,23706454,60262037
21960437,2475597,30578004,16656777,9827608,65524247,19185194,19381616,399712,852668,24041438,62001071
17340584,7550502,20410927,12612767,5086603,46394663,9811641,10676141,1958200,2235433,15420070,36141249
12094082,3643380,17484408,9531653,5827289,29173534,9994344,10576486,648722,898494,13946634,33708989
29116373,19408279,42150543,28544628,8255367,129440823,16555853,17503435,3929921,4798478,25953735,49698999
28606677,17006457,41813791,28407975,8089184,134270009,16239861,17637718,3756604,4619329,26063180,51231789
14429673,1306498,21102767,13775854,3800836,77469284,7403666,8120787,73060,472783,10683066,25993976
14639061,1323558,21394153,13919637,3790880,77755514,7583586,8109305,77210,485515,10910438,26630139
14466312,1213662,20768161,13562986,3771524,77241227,7154436,7857054,17277,409323,10671186,26444639
14347813,1310737,20803718,13702263,3759310,77083425,7324139,8039240,62134,454152,10573407,25793009
14794976,1357993,21405479,13864538,3674626,77814432,7566851,8297154,88546,489193,11151769,27209872
14425773,1289744,20990613,13762005,3735464,77549399,7307862,8038931,86487,481899,10599297,25697940
14588386,1335355,21091221,13771115,3772296,77722287,7149040,8039771,83562,487388,10808749,26425706
14497838,1279258,21190982,13697283,3770050,77561384,7521715,8023089,57035,467250,11001781,26351770
14484085,1202245,20757879,13566687,3763207,77583843,7341054,8032106,10620,404977,10499906,25739321
14584969,1237815,21115250,13713357,3861690,77528396,7313955,8028387,10783,423444,10674066,26888534
14399701,1143647,21072480,13743857,3668917,78025364,7341341,8044972,5506,397056,10704983,25760008
14479028,1178504,21047256,13748062,3762331,78124790,7331986,7838900,17285,408282,10514461,25785908
14693967,1238004,21040025,13726727,3879896,78135624,7349252,8239716,17668,410154,10692919,27035625
14358809,1160391,21018637,13692091,3674525,77574702,7360214,8059357,11215,404448,10693022,25792820
14375983,1183997,20996976,13682290,3765049,77725433,7328060,7841933,18186,408759,10463076,25736592
14716490,1193279,21068238,13748832,3879354,78188697,7142638,7835689,14163,412600,10934551,27062711
15282013,3019828,22650479,15357905,4244956,83603992,8345526,9091896,892386,1340333,11914914,26372465
14483075,1477341,21118614,13708296,3751677,76785377,7525131,8196332,169061,563721,10827282,26304741
14483104,1369501,20762598,13528480,3755323,77205648,7106960,7801112,77820,485712,10759069,26316824
14515831,1387008,20982515,13807194,3779682,77886688,7348067,8058096,107568,507210,10652719,25892610
14669287,1352280,21188292,13825476,3671180,77622621,7352195,8056199,79351,482091,10803564,26585036
14464245,1286839,21144833,13739451,3681041,78136403,7365965,8058018,76206,470663,10583625,25845088
14544104,1159438,21033074,13723044,3772689,77653047,7144664,7847001,6958,400433,10469744,25774864
14652831,1253426,21176071,13911634,3887494,78288491,7352462,8263765,18722,421403,10977830,26468569
14407718,1178564,21042555,13652529,3663452,78307005,7341092,8026605,10732,407300,10436784,25696764
14473538,1207696,20914697,13629678,3756246,77208314,7109108,7804164,17703,412604,10414138,25724566
14429877,1234166,21094345,13836711,3878650,77685918,7346549,8249302,30505,440032,10687886,25852704
14323903,1187178,20927811,13623313,3778366,77392763,7358320,8053670,8610,400031,10660653,25788924
14503465,1206580,20963851,13510888,3768133,76685958,7531373,8043679,16813,418950,10629673,26423661
14280228,1210672,20538551,13401965,3765418,76147469,7139564,8035088,18210,421247,10549078,26310585
14334852,1187005,20960117,13666556,3763216,77346712,7324832,8026589,9525,401645,10571769,25758907
14476342,1173205,20938796,13570463,3664037,77288802,7336775,7843684,16459,403873,10596180,26413887
14438186,1178642,20696475,13474823,3769029,77157468,7332268,8031730,10759,399627,10390193,25732076
15171650,1445217,22564073,14890327,4344586,83281458,8314510,9265777,200031,644634,11456761,27040197
14662547,1478050,21169614,13854256,3659738,77318883,7332102,7824443,164410,570278,10876113,26458841
14416852,1298329,20865147,13675976,3764449,77377923,7322919,8010263,95232,481513,10519276,25750534
14588601,1310724,21108486,13797651,3755500,77459815,7142338,7960339,78189,478910,10520353,26345372
14418509,1330843,21058581,13760234,3661463,77319071,7336812,8038148,92486,495854,10733120,25794723
14602000,1447348,21308290,13945942,3778847,77968610,7359720,7860271,155128,543681,10653369,25874088
14795942,1191826,21180872,13827985,3879928,78436626,7350533,8050241,23839,417316,10718701,27136241
14488230,1311842,21072998,13750318,3658998,77760068,7278152,8016111,94988,489238,10769568,25693705
14594302,1167644,21026126,13701663,3784556,77866316,7320378,7849205,12096,407414,10473545,25889004
14466488,1210798,20779887,13630884,3777507,77535902,7130146,8047013,7837,414259,10702863,26186506
14474813,1180225,21057578,13610483,3789994,77390544,7524165,8256013,13599,402768,10883177,26442205
14715195,1202206,21214146,13727524,3794966,78041593,7526199,8057389,8678,410559,10725831,26502869
14654726,1268691,20754159,13579436,3886076,77507031,7310616,8225357,54159,453058,10940988,27022597
14464846,1265362,21053029,13773300,3794110,78006373,7332387,8053849,36320,440205,10521026,25843989
14638757,1218784,21092717,13797046,3676528,78023067,7329982,7866368,11534,418011,10703381,26494277
14481770,1156599,20911067,13735205,3789256,78312744,7324209,8045029,16894,418073,10491931,25812786
15950939,3839104,23900995,16031175,4399525,84745172,8386575,9364548,725740,981529,11692789,28007542
14593642,1383743,21012301,13757669,3677964,77212969,7310499,7837035,110851,518399,10773168,26439792
14413607,1235700,20746945,13581633,3771344,77411340,7293463,8028465,42897,448306,10478264,25775943
14610472,1371126,21056945,13781448,3774888,77406744,7097777,7825133,109843,499886,10531871,26366797
14496291,1342096,20892208,13787932,3666361,77363281,7305588,8034030,89580,490266,10758817,25846875
14455695,1367259,21026947,13794560,3786269,77558671,7311321,8025729,121493,516261,10575285,25730121
14711911,1263447,21036808,13707368,3845422,77563582,7267411,7988756,58219,455173,10694007,26938723
14451473,1194489,20853496,13754596,3684050,77992305,7348667,8066556,17018,411140,10722430,25811697
14417179,1164671,21018093,13769799,3784645,77909681,7319170,8032108,8556,409975,10416749,25749533
14612408,1160882,21049496,13667241,3675543,77988313,7139583,7863808,10957,404155,10652789,26463759
14576910,1158112,20980514,13789182,3879799,77793838,7501798,8042406,12386,403715,10644034,25809196
14546999,1149616,21118083,13739866,3881281,77689603,7311637,8232399,8961,401341,10657926,26449823
14560002,1138443,20971460,13607817,3684863,77517167,7137035,7860239,15938,406633,10653627,26488407
14306758,1140755,20622008,13561836,3777421,76918876,7315235,8044770,9842,394595,10350098,25110922
14524430,1223116,20918887,13620044,3769234,77167284,7121656,8042132,15512,418368,10694040,26433884
14401322,1163551,20977173,13583181,3680935,77564371,7327964,8063543,6396,398146,10688815,25849089
14567235,1172004,20809916,13530954,3895010,76949477,7537080,8068812,19568,412171,10625525,26442740
15907096,4039451,23636592,15781668,4262544,83350027,8141675,9115957,684729,930095,11636236,28175061
14205288,1198679,20668377,13357936,3675375,76235876,7318301,8040218,40621,433165,10618095,25793332
14442142,1344887,20828337,13532640,3758681,76429254,7297157,7812103,85197,475988,10455613,25672698
14449499,1237906,20635952,13488340,3785217,76514320,7145456,8063948,80584,460774,10709530,26479416
14328190,1286446,20821790,13552059,3789745,76655162,7326984,8054898,85216,478919,10534407,25871573
14575250,1333551,21202693,13810195,3792597,77415059,7550977,8073575,73891,473849,10780514,26545651
14656941,1438042,20952791,13792501,3773521,77632953,7136157,7863706,151689,553788,10822920,26404304
14394942,1217853,20948480,13679925,3781265,77810056,7325365,8039613,7954,417127,10428629,25767510
14545611,1206926,20974998,13682660,3669633,77487561,7327362,7846867,13278,412958,10644017,26391584
14346326,1134307,20697212,13679432,3771796,77407850,7293045,8034478,18309,398907,10416382,25141653
14475259,1137066,21275951,13822893,3993420,77488935,7511486,8456433,12676,387702,10833677,26384629
14411588,1212794,20827783,13520884,3675668,76992941,7318553,7868480,12244,419067,10625744,26393981
14306352,1158689,20466868,13367843,3775525,76185550,7306691,8041630,5220,397346,10363081,25729458
14468850,1178147,20873793,13682518,3769129,77306798,7093493,8030780,17419,399613,10619457,26341668
14304671,1127798,20845788,13532842,3678814,76885116,7338164,8072599,11339,402296,10655972,25849361
14568305,1201420,20857431,13594716,3889834,77126865,7522494,8070145,17817,413441,10681995,26424627
14446041,1198721,20862992,13658394,3787843,76854759,7125542,8065754,7651,404495,10459499,26440477
20795480,7502280,29890757,18462820,8162354,75753652,15351170,16161223,1454525,1953451,20671522,47559616
22861079,6414112,32915223,17691295,13158203,48390301,22529810,23577842,856784,1305793,27423473,68600396
22994221,6878810,32958162,17512558,13258263,49645057,22923928,24259222,839094,1294874,27057825,68388440
23562283,6682110,34257150,18149393,13807741,51013063,23900764,25282512,855246,1301830,27571235,70158880
23314082,6896663,33634583,17890971,13650984,50189096,23414017,24703285,835878,1262201,26621578,69103397
23507244,6464731,34054714,18064454,13698408,50327733,23434471,24919886,832506,1286510,27411415,69952333
23643450,6484947,34386387,18139161,13851359,50779993,23888650,25159345,782597,1236606,27494319,70245658
23447995,6628647,33954656,17672937,13466781,50452579,23775568,24908662,805660,1253510,27342169,70277102
23093943,6475481,33605962,17803184,13671037,50392461,23537769,24649994,776808,1224880,26824067,68359921
2299933,760443,3159445,1754259,863649,4235005,1443929,2214838,179434,231806,2838539,6798209
15432867,4661304,22220878,11360368,8495969,33577743,15398063,16022837,637051,942531,18032919,46000323
23560259,6717875,34376669,18173851,13821003,50948767,24022651,25261601,825467,1276133,27668787,69773067
23856376,7881425,34365413,18301590,13938338,51483013,23891774,25392152,934712,1361451,27621459,71643249
23742086,7106842,34488685,18267171,14032444,51610921,24109166,25368804,863567,1317006,27731765,70851233
23840544,7350687,34069189,18103578,13979383,51575847,23839210,25270685,854226,1306951,27611937,71566228
23900366,6503014,34860469,18332178,13906842,51620742,24437880,25644682,796939,1264540,28008240,71052913
23556271,6640520,34358025,18187952,13831399,51332326,24098885,25143151,833714,1291075,27651657,70239785
23956496,6559010,34133929,18052684,13943171,51445790,23707663,24915584,790715,1250966,27879522,71123004
