decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
73358,1962368,4279195,3301751,3895,72525,986,1711743,170,39142,626375,3677,3664739,3735,333425,1102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10367,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7217,1910952,3003771,0,0,0,0,0,0,0,0,3664,1469129,5346,142085,0,764,47698,0,10306,347321,16092,3899829,2219257,22441060,2193329,334564,7431607,9189605,1327228,17285323,77527401,6842341,40102923
8205,1724479,3913635,1401158,2567,190097,0,179491,31,43128,94450,125,588450,2098,58990,0,93,71389,5917,107161,4108992,1975007,1382721,546297,797530,5486591,903730,16864437,5316891,1434836,17933359,40311433,5178086,47775689
26826,111587,4368706,2049025,117814,888687,0,675142,60,48557,389242,60,2457437,6882,156477,0,60,114413,0,17353,1348595,2223891,278141,133974,1575403,7985824,1341245,27814412,2410498,673000,6687699,46263523,4260090,22976286
26717,117695,4396834,2024186,123522,914091,0,658978,90,46395,380759,59,2041564,6480,155402,0,59,111741,0,17712,1343876,2202025,303366,140272,1570437,7937236,1335187,27798725,2419112,672997,6713424,44639797,4026546,23177216
27304,111348,4437400,2041463,105249,922502,0,680509,0,45892,376285,30,2077112,8181,145187,0,60,98700,0,13943,1325618,2098298,830100,348595,1655289,8102404,1370754,28229434,2447025,677604,6759980,43629199,3848074,22812189
27103,136214,4431661,2080690,110602,935939,0,868387,30,44815,371436,59,2086388,5297,145625,0,0,101758,0,15345,1276011,2084068,305167,136996,1555459,7959212,1349735,27937520,2432488,676277,6738875,45295432,3993525,23183381
28961,114706,4417870,2064849,112854,954695,0,679911,60,48217,381610,59,2086880,9377,157705,0,59,106381,0,13877,1326384,2524264,1010014,413863,7226702,7994014,1353241,28041964,2446181,679997,6754834,45845611,4216326,22663055
