decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
67252,1887089,4253520,3274741,4006,98855,718,1682101,149,37385,625232,3923,3621443,3982,329152,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10380,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6650,1936985,2947862,0,0,0,0,0,0,0,0,3813,1512082,4849,142466,0,869,47651,0,10371,321782,15389,3899443,2214731,22832451,2158627,332424,7458356,9496434,1367547,17279748,77276777,6843077,39991924
8694,1693717,3850437,1349744,2526,179142,0,172919,123,42893,96111,153,560857,2125,57607,0,2559,128857,6373,24338,1190181,2072048,145923,70166,790632,5177762,814679,14283042,5929471,1472708,17813717,39903952,5100466,47198125
27115,107500,4403111,2004113,124867,905999,120,697606,60,47998,391372,180,2089396,10742,164070,0,59,127306,0,14726,1371403,2328546,274669,126627,1379778,8048198,1342431,27948120,2423920,672624,6689070,47597827,4465482,23433526
28207,127446,4405140,2067304,121317,948890,0,698183,30,48001,394378,120,2014658,8417,152582,0,60,124294,0,15386,1361220,2351490,275801,134595,1501566,8061428,1341109,28063927,2431103,674761,6693161,45592198,4302407,23374818
26982,122957,4429081,2052395,109773,974694,0,683501,0,42641,388918,29,2078081,8642,153328,0,30,124735,0,20278,1419130,2262409,813081,328317,1517051,8050304,1351259,28256565,2443963,677734,6774794,44273877,3933317,23309858
27615,139165,4470503,2118342,110427,969516,539,681157,30,41435,378532,29,2098320,5062,147868,0,0,115640,0,17997,1316917,2107951,306478,142707,1588740,8045575,1351321,28264478,2461875,683671,6771722,46186582,4099928,24405397
26327,119629,4428801,2087772,109626,971793,0,679076,0,40715,377526,0,2106413,5404,157315,0,0,114412,0,16547,1409762,2163064,1159561,446709,1611047,8065509,1348011,28273637,2442267,676517,6784351,44214579,3903452,22920005
