decode.lcp,dsb2mite_switches.penalty_cycles,frontend_retired.any_dsb_miss,frontend_retired.dsb_miss,frontend_retired.itlb_miss,frontend_retired.l1i_miss,frontend_retired.l2_miss,frontend_retired.latency_ge_1,frontend_retired.latency_ge_128,frontend_retired.latency_ge_16,frontend_retired.latency_ge_2,frontend_retired.latency_ge_256,frontend_retired.latency_ge_2_bubbles_ge_1,frontend_retired.latency_ge_32,frontend_retired.latency_ge_4,frontend_retired.latency_ge_512,frontend_retired.latency_ge_64,frontend_retired.latency_ge_8,frontend_retired.stlb_miss,frontend_retired.unknown_branch,icache_data.stalls,icache_tag.stalls,idq.dsb_cycles_any,idq.dsb_cycles_ok,idq.dsb_uops,idq.mite_cycles_any,idq.mite_cycles_ok,idq.mite_uops,idq.ms_cycles_any,idq.ms_switches,idq.ms_uops,idq_uops_not_delivered.core,idq_uops_not_delivered.cycles_0_uops_deliv.core,idq_uops_not_delivered.cycles_fe_was_ok
67559,2024975,4330507,3262121,4191,73325,735,1720845,160,42103,604874,3772,3694914,4244,337135,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,10019,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7333,1927085,3043891,0,0,0,0,0,0,0,0,3899,1453858,5385,140181,0,719,48307,0,10371,336545,16417,3908078,2214210,22764976,2164390,331425,7319013,9414423,1169356,17798783,79095046,6868133,39856827
8571,2624104,3849583,481834,2712,168043,2405,163469,61,44178,126679,30,549902,2281,71811,0,4257,363111,1751,8821,999052,2268766,144859,71278,701554,4711543,713093,10809294,6141022,1470578,17760538,53450911,7901926,53422156
29576,117142,4399822,3180465,117338,880846,0,666054,30,52739,440490,179,1997779,10365,154144,0,41,118724,0,17519,1323554,2640687,254208,133638,1474700,8033482,1356784,28234937,2443367,682828,6683364,47050148,4428768,23508977
27126,122298,4434541,1985750,124155,893426,0,691551,75,51241,390946,59,2015182,10681,154666,0,40,121866,0,14805,1345705,2516948,286686,132666,1401258,8092524,1348682,28114849,2436742,680725,6733335,46735305,4300797,23582433
26763,107075,4406758,1998513,125267,921559,0,680341,0,48301,386447,0,2335653,6919,155916,0,30,112204,271,15462,1312883,2296866,269611,129868,1466133,8102997,1356890,28279495,2446415,680038,6760412,44916311,4071448,23000441
26268,132897,4517556,2033220,107651,899559,0,674615,179,47210,374637,29,2051512,5826,143811,0,60,103868,0,14517,1294003,2218097,267683,135247,1537110,8169939,1367200,28592918,2476195,685526,6776753,44429514,3964155,23784372
26490,113149,4455732,2012923,106532,921604,0,675919,29,47111,379975,60,2033699,7555,144547,0,0,107574,0,14881,1416218,2398773,1349401,504442,1506744,8089691,1362977,28245252,2435937,680011,6771340,44444286,3978693,23145847
