mem_inst_retired.all_loads,mem_inst_retired.all_stores,mem_inst_retired.any,mem_inst_retired.lock_loads,mem_inst_retired.split_loads,mem_inst_retired.split_stores,mem_inst_retired.stlb_miss_loads,mem_inst_retired.stlb_miss_stores,mem_load_completed.l1_miss_any,mem_load_l3_hit_retired.xsnp_fwd,mem_load_l3_hit_retired.xsnp_miss,mem_load_l3_hit_retired.xsnp_no_fwd,mem_load_l3_hit_retired.xsnp_none,mem_load_l3_miss_retired.local_dram,mem_load_l3_miss_retired.remote_dram,mem_load_l3_miss_retired.remote_fwd,mem_load_l3_miss_retired.remote_hitm,mem_load_l3_miss_retired.remote_pmm,mem_load_misc_retired.uc,mem_load_retired.fb_hit,mem_load_retired.l1_hit,mem_load_retired.l1_miss,mem_load_retired.l2_hit,mem_load_retired.l2_miss,mem_load_retired.l3_hit,mem_load_retired.l3_miss,mem_load_retired.local_pmm,mem_store_retired.l2_hit,mem_uop_retired.any,longest_lat_cache.miss
17501722,8705194,29894135,235612,57335,40695,11022,1469,2146036,405,88,201,31976,14259,1470,3,540,0,0,1833306,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,40,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,14,394,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10999582,6965906,19348009,114222,44890,69256,0,0,0,0,0,0,57641,13213,120,0,0,0,0,80110,8047410,60658,53345,16869,4831,11896,0,173647,14910690,1349418
11588276,5106555,9942203,110355,35016,72199,6010,4071,1341833,146,0,46,1331,584,0,0,0,0,0,38858,2139162,78132,77292,1555,1100,877,0,69059,21020480,222134
7500036,4040098,11406509,88564,59,4548,923,52,258226,150,0,97,840,960,0,0,0,0,0,92270,7322864,168477,166230,1486,900,585,0,93131,13723486,269003
7508943,4032840,11356801,88155,59,4579,37,22,259170,120,0,255,525,1013,0,0,0,0,0,70270,8245436,163536,159804,1958,736,593,0,82198,12735840,293942
7547134,4060883,11351256,88223,59,4597,14,15,249825,278,0,330,608,982,0,0,0,0,0,67161,7410889,157893,153293,1855,758,661,0,88393,12807433,301975
7495633,4028459,11376183,110094,74,4600,125,15,249768,285,0,240,765,1105,0,0,0,0,0,68992,7443211,160414,158338,1773,443,947,0,82596,12592001,291377
7538758,4053706,11401515,88700,60,4592,0,7,235033,293,0,195,450,1014,0,0,0,0,0,71136,7423504,163314,161338,1442,510,977,0,79096,13664135,292741
7470295,4024668,11377456,88375,60,4583,15,15,231142,179,0,15,1104,661,0,0,0,0,0,70400,8302116,160889,157331,1869,939,622,0,78774,12615103,288846
7497625,4038187,11338507,88329,60,4580,22,15,225784,0,0,0,856,616,7,0,0,0,0,67788,7477487,154832,151551,1802,945,728,0,83650,12746406,299351
7505092,4021753,11338163,88236,60,4607,60,7,256096,164,0,269,864,781,0,0,0,0,0,67544,7469017,159245,155336,1636,924,623,0,78596,12655554,289050
8043628,4281045,12904638,130707,74,4593,0,7,232985,187,0,240,819,893,0,0,0,0,0,65877,7447245,155525,156393,1942,713,654,0,78206,12677924,288664
8561267,4268623,12053455,87317,60,4566,7,0,222877,180,0,15,764,488,0,0,0,0,0,65026,7378145,150862,154349,1672,1087,240,0,77721,14506169,281898
7562817,4059642,11455714,88882,60,4633,7,7,228083,0,0,82,540,368,0,0,0,0,0,69901,9134246,167477,165952,1148,646,435,0,80647,12759690,289512
7542559,4063877,11460973,89068,52,4579,7,7,253920,37,0,7,645,382,0,0,0,0,0,67834,7391791,163705,159982,1441,548,323,0,79295,12686606,289188
7433844,4008557,11268398,87775,52,4608,15,7,245994,112,0,285,758,496,0,0,0,0,0,66770,7415230,158802,157498,750,375,225,0,78501,12634062,286748
7524030,4298484,12142792,108936,75,4550,45,0,237719,37,0,15,481,292,0,0,0,0,0,66028,7497110,161502,159847,1592,758,510,0,79334,12678498,287315
8593831,4512384,12068385,107941,52,4631,15,15,228013,60,0,15,593,779,0,0,0,0,0,68885,7512350,157784,155232,1298,751,405,0,78109,14445378,284974
7556433,4078020,11441110,88907,45,4846,52,15,226700,127,0,157,742,510,0,0,0,0,0,69775,9129217,164119,160014,930,503,210,0,80018,12688029,289482
7475747,4024871,11404138,88415,37,4588,0,7,232893,0,0,22,697,555,0,0,0,0,0,70531,7476238,152782,151111,1208,646,345,0,78451,12599499,288449
7562185,4053910,11397919,88557,52,4621,15,22,236426,0,0,157,901,548,0,0,0,0,0,63748,7342034,153052,150546,1307,630,345,0,79812,12748548,290506
7539860,4041241,11408987,109966,75,4583,82,7,236024,142,0,142,473,270,0,0,0,0,0,64738,7403496,160159,158668,946,736,307,0,81002,12784861,289243
8629242,4658769,13004769,132141,75,4617,0,7,227568,232,0,278,915,360,0,0,0,0,0,64231,7415277,156958,155053,1486,931,473,0,76840,14680574,287425
7546215,4052688,11459389,88601,52,4609,0,0,234372,172,0,209,997,412,0,0,0,0,0,69021,8297612,156263,157395,1509,915,240,0,79465,12734778,289248
7499582,4045070,11409226,88893,60,4616,0,7,241596,345,0,443,585,300,0,0,0,0,0,69912,8308767,154897,153345,2328,826,525,0,77937,12631825,287490
7566624,4060983,11431439,88848,59,4627,15,0,228743,405,15,247,465,270,0,0,0,0,0,64887,7463689,154165,153082,930,405,202,0,77326,12631816,287349
7598867,4085682,11563961,89609,75,4599,37,7,245130,150,0,135,382,337,0,0,0,0,0,66301,7380884,156231,156386,932,345,247,0,79411,12780181,288458
8068785,4276241,12909888,131402,75,4634,15,7,235774,405,0,382,465,255,0,0,0,0,0,65991,7451390,153594,152104,1060,270,217,0,78075,12686982,284749
8109596,4332404,12239351,89238,60,4697,7,0,221772,165,0,262,405,337,0,0,0,0,0,77273,7484704,165863,164690,1396,337,232,0,79208,14658898,284820
7508744,4055918,11422806,89115,60,4643,7,0,231934,157,0,254,420,247,0,0,0,0,0,72001,8328382,158086,156348,750,359,315,0,77418,12618468,286657
7561803,4026866,11364727,88430,52,4590,0,0,229629,82,0,52,562,240,0,0,0,0,0,68716,7580327,159178,158228,720,277,368,0,80346,12699975,287732
7538389,4037090,11369847,88528,52,4612,75,0,239004,97,0,97,555,217,0,0,0,0,0,64048,7460908,157459,153787,697,353,532,0,76908,12664084,287567
7574292,4317649,12228052,109842,82,4518,59,15,226121,44,0,0,330,382,0,0,0,0,0,71946,7478367,155922,154547,608,217,367,0,79538,12740131,289527
7333849,4193673,12141048,110299,52,4604,22,381,272647,22,0,97,210,172,0,0,0,0,0,48853,8547970,114250,114988,397,187,135,0,47759,12085426,210433
