cycle_activity.stalls_l3_miss,machine_clears.memory_ordering,mem_trans_retired.load_latency_gt_128,mem_trans_retired.load_latency_gt_16,mem_trans_retired.load_latency_gt_256,mem_trans_retired.load_latency_gt_32,mem_trans_retired.load_latency_gt_4,mem_trans_retired.load_latency_gt_512,mem_trans_retired.load_latency_gt_64,mem_trans_retired.load_latency_gt_8,mem_trans_retired.store_sample,memory_activity.cycles_l1d_miss,memory_activity.stalls_l1d_miss,memory_activity.stalls_l2_miss,memory_activity.stalls_l3_miss,rtm_retired.aborted,rtm_retired.aborted_events,rtm_retired.aborted_mem,rtm_retired.aborted_memtype,rtm_retired.aborted_unfriendly,rtm_retired.commit,rtm_retired.start,tx_mem.abort_capacity_read,tx_mem.abort_capacity_write,tx_mem.abort_conflict
827215,3393,0,0,0,0,0,0,0,0,6537997,7379981,4203536,4131226,2196101,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,33501,25283,11522,8570,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,290357,106489,66595,59741,0,0,0,0,0,0,0,0,0,0,0
0,1188,0,0,0,0,0,0,0,0,6250344,9343578,4468676,5506963,5396813,0,0,0,0,0,0,0,0,0,0
0,1131,0,0,0,0,0,0,0,0,18868850,7601086,3070192,2025343,523125,0,0,0,0,0,0,0,0,0,0
0,766,0,0,0,0,0,0,0,0,4060515,1721183,662316,257674,112836,0,0,0,0,0,0,0,0,0,0
0,691,0,0,0,0,0,0,0,0,4053135,1457625,534248,186197,87641,0,0,0,0,0,0,0,0,0,0
0,743,0,0,0,0,0,0,0,0,4103672,1435844,544238,237009,99306,0,0,0,0,0,0,0,0,0,0
0,745,0,0,0,0,0,0,0,0,4110405,1442992,506726,158940,74120,0,0,0,0,0,0,0,0,0,0
0,713,0,0,0,0,0,0,0,0,4384408,1433386,496523,143169,58041,0,0,0,0,0,0,0,0,0,0
0,715,0,0,0,0,0,0,0,0,4073433,1478992,531496,201238,101141,0,0,0,0,0,0,0,0,0,0
0,792,0,0,0,0,0,0,0,0,4121236,1623773,635843,258966,92527,0,0,0,0,0,0,0,0,0,0
0,692,0,0,0,0,0,0,0,0,4127350,1370298,494553,136784,68168,0,0,0,0,0,0,0,0,0,0
0,754,0,0,0,0,0,0,0,0,4061988,1384247,494053,144294,70988,0,0,0,0,0,0,0,0,0,0
0,724,0,0,0,0,0,0,0,0,4624928,1404983,498908,156858,80427,0,0,0,0,0,0,0,0,0,0
0,758,0,0,0,0,0,0,0,0,4104763,1432361,503043,156980,63558,0,0,0,0,0,0,0,0,0,0
0,739,0,0,0,0,0,0,0,0,4094262,1397962,508049,161485,80187,0,0,0,0,0,0,0,0,0,0
0,706,0,0,0,0,0,0,0,0,4081850,1423170,535727,199504,91722,0,0,0,0,0,0,0,0,0,0
0,736,0,0,0,0,0,0,0,0,4153755,1433697,502757,164550,68994,0,0,0,0,0,0,0,0,0,0
0,785,0,0,0,0,0,0,0,0,4621309,1441290,523623,183428,71491,0,0,0,0,0,0,0,0,0,0
0,798,0,0,0,0,0,0,0,0,4108929,1483473,531123,174067,67887,0,0,0,0,0,0,0,0,0,0
0,803,0,0,0,0,0,0,0,0,4120883,1392635,481482,133399,59087,0,0,0,0,0,0,0,0,0,0
0,743,0,0,0,0,0,0,0,0,4074716,1385855,498127,174937,90635,0,0,0,0,0,0,0,0,0,0
0,775,0,0,0,0,0,0,0,0,4873009,1443735,528436,159895,94976,0,0,0,0,0,0,0,0,0,0
0,825,0,0,0,0,0,0,0,0,4123651,1436731,584649,226934,132751,0,0,0,0,0,0,0,0,0,0
0,850,0,0,0,0,0,0,0,0,4109293,1428753,493570,141455,51500,0,0,0,0,0,0,0,0,0,0
0,788,0,0,0,0,0,0,0,0,4082934,1407170,508057,144879,69417,0,0,0,0,0,0,0,0,0,0
0,766,0,0,0,0,0,0,0,0,4129138,1378655,467868,117574,59973,0,0,0,0,0,0,0,0,0,0
0,766,0,0,0,0,0,0,0,0,4821946,1474330,524555,181794,98232,0,0,0,0,0,0,0,0,0,0
0,746,0,0,0,0,0,0,0,0,4098409,1490642,559947,206853,71433,0,0,0,0,0,0,0,0,0,0
0,779,0,0,0,0,0,0,0,0,4136574,1486573,523245,171899,64789,0,0,0,0,0,0,0,0,0,0
0,791,0,0,0,0,0,0,0,0,4095571,1391457,477097,130839,82356,0,0,0,0,0,0,0,0,0,0
0,805,0,0,0,0,0,0,0,0,4886784,1504123,526266,168580,61424,0,0,0,0,0,0,0,0,0,0
0,724,0,0,0,0,0,0,0,0,4072930,1424297,509204,170859,86854,0,0,0,0,0,0,0,0,0,0
0,815,0,0,0,0,0,0,0,0,4089751,1467583,522983,172776,96514,0,0,0,0,0,0,0,0,0,0
0,590,0,0,0,0,0,0,0,0,4139978,1430381,516727,239537,240452,0,0,0,0,0,0,0,0,0,0
0,60,0,0,0,0,0,0,0,0,82250,164688,75943,51064,73226,0,0,0,0,0,0,0,0,0,0
0,11,0,0,0,0,0,0,0,0,898276,658601,420233,350714,0,0,0,0,0,0,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,74007,151833,234641,170450,1186,0,0,0,0,0,0,0,0,0,0
0,58,0,0,0,0,0,0,0,0,907935,583193,221743,48790,0,0,0,0,0,0,0,0,0,0,0
0,229,0,0,0,0,0,0,0,0,2296776,1664604,547544,158719,49354,0,0,0,0,0,0,0,0,0,0
0,123,0,0,0,0,0,0,0,0,670966,3314166,2130536,1603801,2702969,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,2826815,2546313,1370814,838802,3378,0,0,0,0,0,0,0,0,0,0
0,145,0,0,0,0,0,0,0,0,1565791,847340,254475,92374,10687,0,0,0,0,0,0,0,0,0,0
0,126,0,0,0,0,0,0,0,0,1401714,4945620,4149529,3105580,1340079,0,0,0,0,0,0,0,0,0,0
0,108,0,0,0,0,0,0,0,0,2062048,1060549,263253,59744,1719,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,637951,3359148,2098002,3050543,1404202,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,2814674,1634177,574691,356443,1618,0,0,0,0,0,0,0,0,0,0
0,16,0,0,0,0,0,0,0,0,123780,199649,91122,58253,1651,0,0,0,0,0,0,0,0,0,0
0,53,0,0,0,0,0,0,0,0,2736168,765434,262629,275939,131103,0,0,0,0,0,0,0,0,0,0
0,1154,0,0,0,0,0,0,0,0,1718871,2312339,1126718,554866,78654,0,0,0,0,0,0,0,0,0,0
0,102,0,0,0,0,0,0,0,0,5215666,688050,299671,31823,0,0,0,0,0,0,0,0,0,0,0
0,619,0,0,0,0,0,0,0,0,5342782,2014803,1044939,515746,117970,0,0,0,0,0,0,0,0,0,0
0,683,0,0,0,0,0,0,0,0,8065366,1874127,637086,203095,51613,0,0,0,0,0,0,0,0,0,0
0,128,0,0,0,0,0,0,0,0,1217342,809951,4998250,5520291,5571207,0,0,0,0,0,0,0,0,0,0
0,1142,0,0,0,0,0,0,0,0,5838772,5339364,3418580,2892029,265246,0,0,0,0,0,0,0,0,0,0
0,1058,0,0,0,0,0,0,0,0,7396223,13610214,9257238,8111201,7290,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,4481503,5603691,3600307,2916104,0,0,0,0,0,0,0,0,0,0,0
0,96,0,0,0,0,0,0,0,0,3380400,1126956,468783,51917,0,0,0,0,0,0,0,0,0,0,0
0,99,0,0,0,0,0,0,0,0,2576619,1067194,448291,64794,0,0,0,0,0,0,0,0,0,0,0
0,74,0,0,0,0,0,0,0,0,2607566,1095423,463014,53082,0,0,0,0,0,0,0,0,0,0,0
0,133,0,0,0,0,0,0,0,0,2591890,1084335,461077,43377,0,0,0,0,0,0,0,0,0,0,0
0,82,0,0,0,0,0,0,0,0,2599347,1055437,455794,59768,0,0,0,0,0,0,0,0,0,0,0
0,83,0,0,0,0,0,0,0,0,2625404,1075624,446237,39781,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,0,0,0,0,0,0,2590849,1053011,441573,51369,0,0,0,0,0,0,0,0,0,0,0
0,126,0,0,0,0,0,0,0,0,2622079,1041371,431660,18054,0,0,0,0,0,0,0,0,0,0,0
0,77,0,0,0,0,0,0,0,0,2575105,1035962,419758,19681,0,0,0,0,0,0,0,0,0,0,0
0,56,0,0,0,0,0,0,0,0,3125068,1147012,509532,115041,0,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,2614920,1111466,522325,117167,0,0,0,0,0,0,0,0,0,0,0
0,112,0,0,0,0,0,0,0,0,2618558,1153359,526227,138130,0,0,0,0,0,0,0,0,0,0,0
0,99,0,0,0,0,0,0,0,0,2635245,1139623,481816,58428,0,0,0,0,0,0,0,0,0,0,0
0,85,0,0,0,0,0,0,0,0,2569347,1091214,481822,62218,0,0,0,0,0,0,0,0,0,0,0
0,63,0,0,0,0,0,0,0,0,3139437,1067486,440361,35763,1453,0,0,0,0,0,0,0,0,0,0
0,359,0,0,0,0,0,0,0,0,2608452,1164677,511881,88102,0,0,0,0,0,0,0,0,0,0,0
0,134,0,0,0,0,0,0,0,0,2574763,1066282,457133,71684,0,0,0,0,0,0,0,0,0,0,0
0,90,0,0,0,0,0,0,0,0,2635198,1013227,427198,34904,0,0,0,0,0,0,0,0,0,0,0
0,45,0,0,0,0,0,0,0,0,2541798,1001881,425439,41423,0,0,0,0,0,0,0,0,0,0,0
0,71,0,0,0,0,0,0,0,0,3072300,1074807,482189,75610,1270,0,0,0,0,0,0,0,0,0,0
0,70,0,0,0,0,0,0,0,0,2591776,1002590,393813,23364,0,0,0,0,0,0,0,0,0,0,0
0,108,0,0,0,0,0,0,0,0,2608080,1004739,408454,12302,0,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,2647990,1053827,472348,57779,0,0,0,0,0,0,0,0,0,0,0
0,72,0,0,0,0,0,0,0,0,3386920,1162260,513262,106013,0,0,0,0,0,0,0,0,0,0,0
0,37,0,0,0,0,0,0,0,0,2628087,1055605,482055,98904,0,0,0,0,0,0,0,0,0,0,0
0,110,0,0,0,0,0,0,0,0,2554437,1127259,508149,103012,0,0,0,0,0,0,0,0,0,0,0
0,93,0,0,0,0,0,0,0,0,2576904,1070298,463522,68678,0,0,0,0,0,0,0,0,0,0,0
0,73,0,0,0,0,0,0,0,0,2620505,1068000,480207,102399,0,0,0,0,0,0,0,0,0,0,0
0,106,0,0,0,0,0,0,0,0,3381198,1122621,466097,68434,0,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,2594809,1065621,463624,67387,0,0,0,0,0,0,0,0,0,0,0
0,140,0,0,0,0,0,0,0,0,2590549,1156205,541330,154046,0,0,0,0,0,0,0,0,0,0,0
0,101,0,0,0,0,0,0,0,0,2589418,1114023,512929,111265,0,0,0,0,0,0,0,0,0,0,0
0,65,0,0,0,0,0,0,0,0,5215460,9050783,6749061,5528944,0,0,0,0,0,0,0,0,0,0,0
0,76,0,0,0,0,0,0,0,0,2573312,1028223,462581,80823,0,0,0,0,0,0,0,0,0,0,0
0,75,0,0,0,0,0,0,0,0,2617419,1084067,487605,97466,0,0,0,0,0,0,0,0,0,0,0
0,135,0,0,0,0,0,0,0,0,2618626,1090607,446936,34415,0,0,0,0,0,0,0,0,0,0,0
0,71,0,0,0,0,0,0,0,0,2602927,1065148,463004,55989,0,0,0,0,0,0,0,0,0,0,0
0,89,0,0,0,0,0,0,0,0,3207028,1080737,461969,44002,0,0,0,0,0,0,0,0,0,0,0
0,87,0,0,0,0,0,0,0,0,2609744,1090042,479671,90324,0,0,0,0,0,0,0,0,0,0,0
0,119,0,0,0,0,0,0,0,0,2616374,1153125,520034,106537,0,0,0,0,0,0,0,0,0,0,0
0,72,0,0,0,0,0,0,0,0,2577547,1057894,425158,13463,0,0,0,0,0,0,0,0,0,0,0
0,101,0,0,0,0,0,0,0,0,2590550,1077187,442253,33519,0,0,0,0,0,0,0,0,0,0,0
0,138,0,0,0,0,0,0,0,0,3426520,1136249,490798,56123,0,0,0,0,0,0,0,0,0,0,0
0,131,0,0,0,0,0,0,0,0,2565193,1045082,464258,79667,0,0,0,0,0,0,0,0,0,0,0
0,106,0,0,0,0,0,0,0,0,2621115,1110276,492334,85828,0,0,0,0,0,0,0,0,0,0,0
0,140,0,0,0,0,0,0,0,0,2581540,1140283,507585,96753,2333,0,0,0,0,0,0,0,0,0,0
0,60,0,0,0,0,0,0,0,0,3123620,1059192,462659,70112,2658,0,0,0,0,0,0,0,0,0,0
0,85,0,0,0,0,0,0,0,0,2604582,1012902,424641,18985,0,0,0,0,0,0,0,0,0,0,0
0,118,0,0,0,0,0,0,0,0,2567761,1152497,522538,114769,0,0,0,0,0,0,0,0,0,0,0
0,570,0,0,0,0,0,0,0,0,2582828,1163249,532956,118301,0,0,0,0,0,0,0,0,0,0,0
0,120,0,0,0,0,0,0,0,0,2613304,1154411,537699,145373,0,0,0,0,0,0,0,0,0,0,0
0,93,0,0,0,0,0,0,0,0,2594082,1092432,484787,97592,0,0,0,0,0,0,0,0,0,0,0
0,129,0,0,0,0,0,0,0,0,2587888,1045987,435286,47894,0,0,0,0,0,0,0,0,0,0,0
0,125,0,0,0,0,0,0,0,0,2591989,1207666,559729,160993,0,0,0,0,0,0,0,0,0,0,0
0,123,0,0,0,0,0,0,0,0,2591541,1089115,472884,69344,0,0,0,0,0,0,0,0,0,0,0
0,102,0,0,0,0,0,0,0,0,2623004,1075759,466283,71010,0,0,0,0,0,0,0,0,0,0,0
0,93,0,0,0,0,0,0,0,0,3114420,1092687,484547,97467,0,0,0,0,0,0,0,0,0,0,0
0,140,0,0,0,0,0,0,0,0,2577776,1162799,526980,160749,5364,0,0,0,0,0,0,0,0,0,0
0,109,0,0,0,0,0,0,0,0,2619583,1103011,500948,103258,0,0,0,0,0,0,0,0,0,0,0
0,155,0,0,0,0,0,0,0,0,2583592,1096858,481540,69141,0,0,0,0,0,0,0,0,0,0,0
0,89,0,0,0,0,0,0,0,0,2628721,1080058,463355,66375,0,0,0,0,0,0,0,0,0,0,0
0,101,0,0,0,0,0,0,0,0,3134728,1109971,484082,93892,0,0,0,0,0,0,0,0,0,0,0
0,83,0,0,0,0,0,0,0,0,2571039,998963,404921,29379,0,0,0,0,0,0,0,0,0,0,0
0,108,0,0,0,0,0,0,0,0,2612280,1083498,467046,90571,1870,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,2582678,1119995,506114,115751,0,0,0,0,0,0,0,0,0,0,0
0,80,0,0,0,0,0,0,0,0,3410111,1083069,469525,76198,0,0,0,0,0,0,0,0,0,0,0
0,86,0,0,0,0,0,0,0,0,3442257,3474236,1910004,1187524,0,0,0,0,0,0,0,0,0,0,0
0,131,0,0,0,0,0,0,0,0,2597447,1146058,501162,95171,0,0,0,0,0,0,0,0,0,0,0
0,98,0,0,0,0,0,0,0,0,2638080,1080621,458298,61446,0,0,0,0,0,0,0,0,0,0,0
0,59,0,0,0,0,0,0,0,0,2604357,1100968,476295,67836,0,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,2583658,1151731,481076,59108,0,0,0,0,0,0,0,0,0,0,0
0,33,0,0,0,0,0,0,0,0,2603047,1087517,463204,51226,0,0,0,0,0,0,0,0,0,0,0
0,85,0,0,0,0,0,0,0,0,2572779,1124685,481932,83598,0,0,0,0,0,0,0,0,0,0,0
0,113,0,0,0,0,0,0,0,0,2594143,1107596,494673,106988,0,0,0,0,0,0,0,0,0,0,0
0,74,0,0,0,0,0,0,0,0,2616852,1193930,549602,127466,0,0,0,0,0,0,0,0,0,0,0
0,78,0,0,0,0,0,0,0,0,3382821,1181244,498355,79479,0,0,0,0,0,0,0,0,0,0,0
0,52,0,0,0,0,0,0,0,0,2603650,1076252,465228,66547,0,0,0,0,0,0,0,0,0,0,0
0,135,0,0,0,0,0,0,0,0,2566930,1124058,475236,52536,0,0,0,0,0,0,0,0,0,0,0
0,81,0,0,0,0,0,0,0,0,2597398,1058014,449986,56224,0,0,0,0,0,0,0,0,0,0,0
