cpu_clk_unhalted.ref_tsc,l1d_pend_miss.pending,cpu_clk_unhalted.thread_p,uops_retired.stalls,br_inst_retired.all_branches,idq_uops_not_delivered.core,mem_inst_retired.any,mem_uop_retired.any,memory_activity.stalls_l2_miss,memory_activity.stalls_l1d_miss,cycle_activity.cycles_mem_any,uops_issued.any,br_misp_retired.all_branches
45081445,32609495,77276619,46562169,28230600,144978076,52267555,59651743,6829666,8133325,59603647,193732003,268151
104880,56338,151923,87525,57243,322195,0,0,0,22978,123051,301657,269
1697360,205102,2455985,1817604,381281,2743088,807196,0,0,95647,1609003,3061283,728
40759180,85243942,59033395,46997144,7159651,64219775,14440617,17309026,11076076,11995540,37490884,64590576,52192
37399427,30812981,51758454,35857614,10367199,77490223,16107003,16743692,2282823,2910509,21350235,61866616,109238
22737001,2412557,33327504,24980287,6169361,49616700,11774638,13302030,485900,902025,18639472,36770254,22069
22517778,2030347,32812881,24771308,5863442,46467862,11115726,12513247,302137,676910,18056943,35781708,17773
22612815,2085959,32635293,24562044,5743224,46289484,11117781,12508528,323718,695299,18036118,36392121,18362
23001082,1956648,33204189,24879074,5869212,46069907,10922952,12352576,249525,619231,18250873,37106973,20118
22895089,1916848,33102938,24888617,5862719,46442184,11124815,12539194,246122,603442,17620298,35738403,18635
22537443,1862291,32771185,24743527,5871172,46335553,11172497,12580173,229823,593951,17852740,35173471,18621
22716722,1778423,32858949,24624512,5823247,45961028,11260899,12658898,167282,539234,17979508,36756639,19810
22810420,1810460,32946883,24684781,5815013,45875863,10811614,12426901,154359,534783,17998537,36907788,19939
22793540,1767278,32947972,24677570,5918382,46130730,11261302,12460034,160875,527087,17736826,36026089,19910
22682823,1736083,33037178,24768090,6031718,46059746,11433459,12842765,157754,520593,17750411,35448239,19044
22704960,1711795,32832860,24614390,5797521,45740230,11249629,12678966,140003,498955,17958549,36692172,19691
22800817,1776917,32964902,24723399,5829260,45547620,10824040,12432105,162758,528374,17923062,36623445,19591
22921411,1750679,33090389,24791769,5898298,46077387,11011376,12421816,134154,507009,17684221,36716167,20393
22565521,1724083,32849228,24634309,5910776,45844989,11234540,12659802,138210,500002,17469050,35341763,18771
22813953,1799088,32963038,24714488,6054352,46211806,11459487,12862843,194562,570394,18496832,37558270,22384
23068549,1760445,33294448,24715536,5824348,45453448,11293732,12703466,156417,530134,18344501,37699567,23163
22972715,1753505,33168032,24824860,5942033,46207052,11066236,12502417,151933,532088,17740567,36817332,22137
22575161,1674033,32830974,24541659,5900233,45437935,11189363,12625618,134481,480124,17453909,35417406,19933
22486285,1617678,32739923,24559867,5921672,46104586,11292096,12708248,131422,502588,17917297,36072790,21575
22957656,1691126,33013444,24772232,5847456,45894312,11101319,12707638,144696,504457,18177918,37477778,21989
22901251,1698432,33065848,24712619,5941377,45884914,11276689,12515424,124469,487626,17705363,37024596,20688
22579625,1659228,32843615,24598818,5915953,45847946,11259361,12654528,130105,491710,17474919,35399297,19719
22508297,1708369,32788957,24624905,5926846,46003162,11239543,12638195,127081,504237,17916562,36099190,21209
22846523,1759222,32727266,24559200,5700984,45443910,11038577,12663981,131403,507834,17985897,36836806,22532
22869504,1707231,33133602,24783515,5960047,45992559,11121431,12316805,134545,493803,17943912,36857302,21497
22642413,1694909,33031999,24716812,6005046,46193414,11379189,12804226,128641,486876,17385990,35825091,20512
22546127,1665964,32619725,24633961,5936262,46125289,11256745,12669356,140789,503597,17961121,36041973,21424
22907961,1853864,33020761,24769668,5729772,45905675,11091422,12684639,203228,577796,18064083,36728485,22633
22877438,1714115,33072580,24779865,5931689,45817710,11081130,12279515,144515,506008,18010506,36899240,20719
22949077,1676253,33157907,24831692,5949650,46284237,11320522,12735740,139819,498085,17599227,36288898,21683
22585437,1651306,32849613,24747811,6052396,46476808,11484960,12892607,114883,488106,17950568,36156775,21865
23002705,1663705,33195047,24695855,5726861,44925844,11088967,12915500,120420,479352,18262114,37719556,23114
20781675,1485925,29648281,20495871,5366581,66253139,9961079,11243345,145609,458149,15287116,36467904,97167
860752,293683,1267822,769271,378338,3140184,753000,781262,124043,151661,549960,952492,4736
487385,623359,987242,832933,345235,3446621,681728,708634,188036,167562,570502,564059,2812
743786,290157,1009384,454504,206690,1944777,629294,863893,95656,119658,1050685,2843708,3579
6583660,1352624,10209691,6608651,3175561,29182934,3841326,4135559,237236,487203,5817878,14992659,25483
11291411,9373705,16104996,10604283,3344328,31388613,4910778,5813869,1182972,1646638,9319157,20949020,24652
11112182,13878263,16511564,12139828,3180039,30749625,4692444,5827004,2098602,1893928,9091444,17790956,18211
11033097,12977140,15902077,10644787,2893070,28591966,4548516,5508316,1684558,1931391,9669648,20787263,17684
11525132,9560611,16452511,11726542,3330681,30714463,4509719,5566537,1589186,1347662,9145370,20342896,19060
10958535,13565923,15419688,11020523,3127557,30585542,4616729,5620264,1614823,2375950,8810604,18831564,18264
10302897,9006522,15629274,10887461,3152792,27493991,4465559,5360908,1139605,1354376,8333525,18507289,16558
10981084,13882691,15958316,11209324,3091502,31257550,4687735,5656866,1576730,2305972,9650196,19912463,18019
11021604,9147649,16090255,11155849,2980318,27464629,4086060,5248964,1665063,1895019,9702040,20170630,19412
5816812,780915,7784276,4969797,1822507,15098758,2660348,2977445,500481,626986,4227740,10239978,9752
769641,335335,1572360,744670,444321,3023490,911493,949013,108566,121242,718234,1141187,4367
24743574,4091776,32167041,21200482,16480685,103634085,29284452,29778317,1345981,2062210,33652142,85400364,137263
23891901,1559645,34570330,22100771,6927640,123680601,13428441,14485580,165679,489045,17755388,44943106,190156
27091576,2212688,39296845,24036641,8866792,121746095,16772750,19471172,280705,717210,23262799,60831195,183406
21479691,2682917,31601607,16939085,10610150,62892304,18348224,18761003,359925,839149,20891309,55098737,85052
16375223,7308729,20373704,13401763,4385366,44500100,9338669,10698514,2525628,2317531,14886569,35697853,45062
12058641,4237034,17552651,9877428,6520763,31823446,11487549,12221913,641768,790029,12027708,30670099,30059
28749569,18501500,41943543,28811785,8141599,133300651,16370124,17599712,4016717,4933136,26039120,49833135,198934
28249200,15870217,40832543,27528191,7804995,130887379,16035810,17187127,3394564,4178422,24419235,50174537,201655
14550200,1517666,21049947,13756800,3811358,77164142,6974207,7685915,37447,522414,10911562,26811142,113719
14554685,1550199,21233619,13875615,3915741,77782044,7607239,8337911,50331,533776,10480294,25984162,114527
14099106,1413055,20635806,13572580,3792212,76802660,7382578,8100902,6678,498937,10766033,25546378,108788
14537596,1402850,20804474,13602591,3578942,77196241,7362099,8096181,9653,487094,10903547,26794973,114538
14651109,1471048,21165378,13854489,3921180,77051783,6954169,7654292,20417,501058,11022621,27175960,113264
14665943,1486138,21170494,13878119,3822433,77992584,7399080,8120988,18910,499559,10493142,26128243,117878
14255475,1465419,21051543,13788250,3785709,77398371,7363093,8093998,20134,506155,10617231,25221725,114669
14578270,1438505,20830860,13716330,3692596,77904254,7379732,8324607,7190,506242,11095430,27179892,116560
14554401,1460461,21014020,13760224,3785623,77145132,7141883,7650467,15927,499328,10853767,26604910,114736
14747711,1444820,21315647,13923247,3907111,78176835,7583887,8094157,4989,491970,10682198,26612706,116247
14365795,1461263,21244748,13943646,3806202,78378139,7371976,8084860,11924,500628,10689379,25192665,117778
14586310,1429400,20824373,13757363,3672922,78385059,7353319,8086633,19912,513525,10957052,26747824,119149
14856564,1487582,21405967,14001117,3811802,78162417,7175153,7893207,18317,504424,11165722,27290370,116740
14598754,1471522,21072035,13787252,3813178,77555185,7372557,8080518,19293,507909,10438167,26038128,112206
